authors,title,source,type,abstract,times_cited,PY,VL,IS,BP,EP
"Agrawal, AF",Genetic loads under fitness-dependent mutation rates,JOURNAL OF EVOLUTIONARY BIOLOGY,Article,"Although much theory depends on the genome-wide rate of deleterious mutations, good estimates of the mutation rate are scarce and remain controversial. Furthermore, mutation rate may not be constant, and a recent study suggests that mutation rates are higher in mildly stressful environments. If mutation rate is a function of condition, then individuals carrying more mutations will tend to be in worse condition and therefore produce more mutations. Here I examine the mean fitnesses of sexual and asexual populations evolving under such condition-dependent mutation rates. The equilibrium mean fitness of a sexual population depends on the shape of the curve relating fitness to mutation rate. If mutation rate declines synergistically with increasing condition the mean fitness will be much lower than if mutation rate declines at a diminishing rate. In contrast, asexual populations are less affected by condition-dependent mutation rates. The equilibrium mean fitness of an asexual population only depends on the mutation rate of the individuals in the least loaded class. Because such individuals have high fitness and therefore a low mutation rate, asexual populations experience less genetic load than sexual populations, thus increasing the twofold cost of sex.",19,2002,15,6,1004,1010
"Takahashi, K; Kohyama, T",Size-structure dynamics of two conifers in relation to understorey dwarf bamboo: A simulation study,JOURNAL OF VEGETATION SCIENCE,Article,"Size-structure dynamics and co-existence of the conifers Abies sachalinensis and Picea glehnii in subalpine forests in Japan, in relation to the understorey dwarf bamboo Sasa, were examined using a simulation model. This model explicitly incorporated recruitment rate, size growth rate and mortality. Recruitment and growth rates were assumed to be suppressed by the cumulative basal area of taller trees and the density of Sasa. As for the one-sided crowding effect, two types of model were examined. The total basal area of the two species suppresses the growth and recruitment rates in an additive model, while the basal area of each species has a separate effect included in a specific model. Two types of recruitment process were examined, i.e. open and closed systems; recruitment rates of open and closed systems are independent of, and proportional to, the basal area of the same species within the plot, respectively. Parameters were estimated from data of plot censuses for four years. The parameters of the specific model showed that recruitment and size growth rates were more suppressed by the same species than the other species. Recruitment of A. sachalinensis was mon sensitive to suppression by Sasa compared with P. glehnii. The stationary size structure of the two species, generated from both the models with the open system, fitted well to the observed size structures across various Sasa densities. A. sachalinensis and P. glehnii dominated at lower and higher densities of Sasa, respectively. However, the closed-system simulation showed that the stable co-existence of the two species with a good fit to the observed size structure occurred only in the specific model. These results suggest that within-species interference, which is more severe than between-species interference, is important for the co-existence of the two species and that the relative dominance of the two species readily explained the differential responses to Sasa abundance.",19,1999,10,6,833,842
"Eeva, T; Lehikoinen, E; Sunell, C",The quality of pied flycatcher (Ficedula hypoleuca) and great tit (Parus major) females in an air pollution gradient,ANNALES ZOOLOGICI FENNICI,Article,"We studied whether pied flycatcher (Ficedula hypoleuca) and great tit (Parus major) females differed in quality between polluted and unpolluted habitats. Comparing female condition between incubation and nestling periods, we aimed at testing whether biometric differences in F. hypoleuca females were caused by assortative settlement (i.e. intraspecific competition) or as a consequence of breeding in environments exposed to different levels of pollution stress. Body mass, wing length, fat reserves, age distribution, timing of breeding and breeding density of females were measured along an air pollution gradient from a copper smelter in SW Finland in 1991-1994. We found few differences in female quality which could be explained by assortative settling. Females were of the same size in all areas. At nestling time P. major females were heaviest in a moderately polluted area. However, females in the most polluted area were not lighter than those in background areas. Female fat reserves in both species were smaller in the polluted area in one cold breeding season. This suggests that natural (weather) and human induced (pollution) stress factors affected female condition additively. The proportion of young F. hypoleuca females was slightly higher in the polluted area than elsewhere. P. major females started laying earlier near the factory complex than farther away. F. hypoleuca females laid later in the polluted area in early breeding seasons but in late seasons laying started simultaneously everywhere. Especially F. hypoleuca bred more sparsely in the polluted area. Observed differences in the condition of F. hypoleuca females along the pollution gradient emerged mainly in the course of breeding.",19,1997,34,1,61,71
"CIPOLLINI, ML; STILES, EW",ANTIFUNGAL ACTIVITY OF RIPE ERICACEOUS FRUITS - PHENOLIC-ACID INTERACTIONS AND PALATABILITY FOR DISPERSERS,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,Article,"Chemical characteristics of antifungal extracts of ripe fruit pulp of six ericaceous plants that differ in fruit ripening phenology and other dispersal characteristics were examined. The antifungal activity of these fruits is particularly interesting because of contrasting effects of pulp secondary chemistry upon birds that disperse the seeds. Whereas extracts of summer-ripening fruit do not affect (or affect positively) the feeding rates of birds feeding on artificial-pulp media, extracts of fall-ripening fruit are very much a deterrent Results of fungal growth tests indicate that synergistic interactions of small phenolic constituents with small organic acids were most likely sources of antifungal activity for all but one species (Arctostaphylos uva-ursi), for which astringent polyphenolics and steroidal saponins were implicated. Fall-ripening fruit are apparently more of a deterrent to frugivores due to higher concentrations of organic acids in interaction with phenolic constituents, or higher concentrations of tannins and saponins. In conclusion, we stress the challenges that chemical synergism may present to chemical ecologists, and the importance of interactive effects of ""primary"" chemicals in plant defense.",19,1992,20,6,501,514
"Carvalho, JC; Cardoso, P; Borges, PAV; Schmera, D; Podani, J",Measuring fractions of beta diversity and their relationships to nestedness: a theoretical and empirical comparison of novel approaches,OIKOS,Article,"Beta diversity and nestedness are central concepts of ecology and biogeography and evaluation of their relationships is in the focus of contemporary ecological and conservation research. Beta diversity patterns are originated from two distinct processes: the replacement (or turnover) of species and the loss (or gain) of species leading to richness differences. Nested distributional patterns are generally thought to have a component deriving from beta diversity which is independent of replacement processes. Quantification of these phenomena is often made by calculating a measure of beta diversity, and the resulting value being subsequently partitioned into a contribution by species replacement plus a fraction shared by beta diversity and nestedness. Three methods have been recently proposed for such partitioning, all of them based on pairwise comparisons of sites. In this paper, the performance of these methods was evaluated on theoretical grounds and tested by a simulation study in which different gradients of dissimilarity, with known degrees of species replacement and species loss, were created. Performance was also tested using empirical data addressing land-use induced changes in endemic arthropod communities of the Terceira Island in the Azores. We found that the partitioning of cc (dissimilarity in terms of the Jaccard index) into two additive fractions, -3 (dissimilarity due to species replacement) plus rich (dissimilarity due to richness differences) reflects the species replacement and species loss processes across the simulated gradients in an ecologically and mathematically meaningful way, whilst the other two methods lack mathematical consistency and prove conceptually self-contradictory. Moreover, the first method identified a selective local extinction process for endemic arthropods, triggered by land-use changes, while the latter two methods overweighted the replacement component and led to false conclusions. Their basic flaw derives from the fact that the proposed replacement and nestedness components (deemed to account for species loss) are not scaled in the same way as the measure that accounts for the total dissimilarity (SOrensen and Jaccard indices). We therefore recommend the use of cc=-3+rich, since its components are scaled in the same units and their responses are proportional to the replacement and the gain/loss of species.",18,2013,122,6,825,834
"Coverdale, TC; Herrmann, NC; Altieri, AH; Bertness, MD",Latent impacts: the role of historical human activity in coastal habitat loss,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,Article,"Understanding human impacts on ecosystems is critical for conservation, but can be complicated by interactions between multiple impacts occurring at different times. Using historical patterns of ditch construction on Cape Cod, Massachusetts, we tested the hypothesis that mosquito ditches have exacerbated salt marsh die-offs. Ditching activities occurred in the 1930s and were followed by post-World War II shoreline development, which created >90% of current shoreline infrastructure on Cape Cod. Recently, predator depletion caused by recreational fishing has allowed populations of a native herbivorous crab (Sesarrna reticulatum) to increase dramatically, triggering herbivore-driven cordgrass (Spartina alterniflora) die-off at developed sites. Depression-era mosquito ditching had little effect for decades, but accelerated subsequent die-offs by expanding cordgrass habitat. Despite occurring decades apart, ditching interacted synergistically with shoreline development and recreational fishing to devastate similar to 55% of low marsh habitat (the narrow band of marsh grass necessary for marsh persistence and expansion). This suggests that historical human impacts can remain dormant for decades before interacting unexpectedly with modern perturbations. Such latent impacts are widespread in both marine and terrestrial habitats and may be common in other ecosystems with a history of disturbance. Front Ecol Environ 2013; 11(2): 69-74, doi:10.1890/120130 (published online 17 Jan 2013)",18,2013,11,2,69,74
"Meunier, J; Kolliker, M",Parental antagonism and parent-offspring co-adaptation interact to shape family life,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,"The family is an arena for conflicts between offspring, mothers and fathers that need resolving to promote the evolution of parental care and the maintenance of family life. Co-adaptation is known to contribute to the resolution of parent-offspring conflict over parental care by selecting for combinations of offspring demand and parental supply that match to maximize the fitness of family members. However, multiple paternity and differences in the level of care provided by mothers and fathers can generate antagonistic selection on offspring demand (mediated, for example, by genomic imprinting) and possibly hamper co-adaptation. While parent-offspring co-adaptation and parental antagonism are commonly considered two major processes in the evolution of family life, their co-occurrence and the evolutionary consequences of their joint action are poorly understood. Here, we demonstrate the simultaneous and entangled effects of these two processes on outcomes of family interactions, using a series of breeding experiments in the European earwig, Forficula auricularia, an insect species with uniparental female care. As predicted from parental antagonism, we show that paternally inherited effects expressed in offspring influence both maternal care and maternal investment in future reproduction. However, and as expected from the entangled effects of parental antagonism and co-adaptation, these effects critically depended on postnatal interactions with caring females and maternally inherited effects expressed in offspring. Our results demonstrate that parent-offspring co-adaptation and parental antagonism are entangled key drivers in the evolution of family life that cannot be fully understood in isolation.",18,2012,279,1744,3981,3988
"O'Gorman, EJ; Fitch, JE; Crowe, TP",Multiple anthropogenic stressors and the structural properties of food webs,ECOLOGY,Article,"Coastal environments are among the most productive on the planet, providing a wide range of ecosystem services. Development and exploitation mean that they are faced with stresses from a number of anthropogenic sources. Such stresses are typically studied in isolation, but multiple stressors can combine in unexpected ways to alter the structure of ecological systems. Here, we experimentally explore the impacts of inorganic nutrients and organic matter on a range of food web properties. We find that these two stressors combine additively to produce significant increases in connectance and mean food chain length. Such increases are typically associated with enhanced robustness to secondary extinctions and productivity, respectively. Despite these apparent beneficial effects, we find a simplification of web structure in terms of taxon richness and diversity, and altered proportions of basal and top species. These effects are driven by a reduction in community assembly and lower consistency in a range of system properties as a result of the multiple stressors. Consequently, impacted food webs are likely to be more vulnerable to human- or climate-induced perturbations in the long term.",18,2012,93,3,441,448
"Jacob, A; Evanno, G; von Siebenthal, BA; Grossen, C; Wedekind, C",Effects of different mating scenarios on embryo viability in brown trout,MOLECULAR ECOLOGY,Article,"Mating with attractive or dominant males is often predicted to offer indirect genetic benefits to females, but it is still largely unclear how important such non-random mating can be with regard to embryo viability. We sampled a natural population of adult migratory brown trout (Salmo trutta), bred them in vitro in a half-sib breeding design to separate genetic from maternal environmental effects, raised 2098 embryos singly until hatching, and exposed them experimentally to different levels of pathogen stress at a late embryonic stage. We found that the embryos' tolerance to the induced pathogen stress was linked to the major histocompatibility complex (MHC) of their parents, i.e. certain MHC genotypes appeared to provide better protection against infection than others. We also found significant additive genetic variance for stress tolerance. Melanin-based dark skin patterns revealed males with 'good genes', i.e. embryos fathered by dark coloured males had a high tolerance to infection. Mating with large and dominant males would, however, not improve embryo viability when compared to random mating. We used simulations to provide estimates of how mate choice based on MHC or melanin-based skin patterns would influence embryos' tolerance to the experimentally induced pathogen stress.",18,2010,19,23,5296,5307
"Poulter, B; Aragao, L; Heyder, U; Gumpenberger, M; Heinke, J; Langerwisch, F; Rammig, A; Thonicke, K; Cramer, W",Net biome production of the Amazon Basin in the 21st century,GLOBAL CHANGE BIOLOGY,Article,"Global change includes multiple stressors to natural ecosystems ranging from direct climate and land-use impacts to indirect degradation processes resulting from fire. Humid tropical forests are vulnerable to projected climate change and possible synergistic interactions with deforestation and fire, which may initiate a positive feedback to rising atmospheric CO(2). Here, we present results from a multifactorial impact analysis that combined an ensemble of climate change models with feedbacks from deforestation and accidental fires to quantify changes in Amazon Basin carbon cycling. Using the LPJmL Dynamic Global Vegetation Model, we modelled spatio-temporal changes in net biome production (NBP); the difference between carbon fluxes from fire, deforestation, soil respiration and net primary production. By 2050, deforestation and fire (with no CO(2) increase or climate change) resulted in carbon losses of 7.4-20.3 Pg C with the range of uncertainty depending on socio-economic storyline. During the same time period, interactions between climate and land use either compensated for carbon losses due to wetter climate and CO(2) fertilization or exacerbated carbon losses from drought-induced forest mortality (-20.1 to +4.3 Pg C). By the end of the 21st century, depending on climate projection and the rate of deforestation (including its interaction with fire), carbon stocks either increased (+12.6 Pg C) or decreased (-40.6 Pg C). The synergistic effect of deforestation and fire with climate change contributed up to 26-36 Pg C of the overall decrease in carbon stocks. Agreement between climate projections (n=9), not accounting for deforestation and fire, in 2050 and 2098 was relatively low for the directional change in basin-wide NBP (19-37%) and aboveground live biomass (13-24%). The largest uncertainty resulted from climate projections, followed by implementation of ecosystem dynamics and deforestation. Our analysis partitions the drivers of tropical ecosystem change and is relevant for guiding mitigation and adaptation policy related to global change.",18,2010,16,7,2062,2075
"Chatfield, BS; Van Niel, KP; Kendrick, GA; Harvey, ES",Combining environmental gradients to explain and predict the structure of demersal fish distributions,JOURNAL OF BIOGEOGRAPHY,Article,"Aim Species distribution modelling was used to investigate relationships between benthic environmental variables and patterns of demersal fish species distributions using fish occurrence data collected from spatially sparse point sampling. Our goals were to determine: (1) the relative importance of different environmental variables, (2) whether accurate predictions can be developed from these models, and (3) how a comparison of the models against known species ecology can be used to assess model relevance and to provide further insights that could drive future studies of these species. Location The Recherche Archipelago, southern Western Australia. Methods Fish distribution data were collected using baited remote underwater video systems (BRUVS): environmental characteristics (substrate type, macroalgal type and presence of sessile biota) were derived from the video footage; and water depth was measured with a depth sounder. Two species distribution modelling techniques were used to explore and quantify the contribution of environmental characteristics to distribution models of 10 temperate marine fish species. Results Substrate type (reef, sand, cobble) was the most influential variable, and water depth and macroalgal type influenced the probable occurrence of species even over the same substrate type. The probable occurrences of all but one fish species were predicted very successfully, with observed presences being predicted correctly with accuracies > 76%. These predictions were possible due to strong associations between these species and benthic features recorded in this study (substrate type, depth and macroalgal type). Main conclusions The results demonstrate that the combined influence of multiple environmental gradients must be considered to further develop our understanding of how the environment structures demersal fish distributions. The species distribution models not only agreed with the known ecology of the species examined in detail, but also provided more information on the strength of each environmental attribute and interactions between attributes. These interactions may have previously been misinterpreted as, for example, a depth-driven response. Additional drivers of distribution that were previously not considered, such as the presence of macroalgae, were also found to have influence. This information thus provides a better description of a species' niche, which is of value to both species management and conservation.",18,2010,37,4,593,605
"Kendall, WL; Converse, SJ; Doherty, PF; Naughton, MB; Anders, A; Hines, JE; Flint, E",Sampling design considerations for demographic studies: a case of colonial seabirds,ECOLOGICAL APPLICATIONS,Article,"For the purposes of making many informed conservation decisions, the main goal for data collection is to assess population status and allow prediction of the consequences of candidate management actions. Reducing the bias and variance of estimates of population parameters reduces uncertainty in population status and projections, thereby reducing the overall uncertainty under which a population manager must make a decision. In capture recapture studies, imperfect detection of individuals, unobservable life-history states, local movement outside study areas, and tag loss can cause bias or precision problems with estimates of population parameters. Furthermore, excessive disturbance to individuals during capture-recapture sampling may be of concern because disturbance may have demographic consequences. We address these problems using as an example a monitoring program for Black-footed Albatross (Phoebastria nigripes) and Laysan Albatross (Phoebastria immutabilis) nesting populations in the northwestern Hawaiian Islands. To mitigate these estimation problems, we describe a synergistic combination of sampling design and modeling approaches. Solutions include multiple capture periods per season and multistate, robust design statistical models, dead recoveries and incidental observations, telemetry and data loggers, buffer areas around study plots to neutralize the effect of local movements outside study plots, and double banding and statistical models that account for band loss. We also present a variation on the robust capture-recapture design and a corresponding statistical model that minimizes disturbance to individuals. For the albatross case study, this less invasive robust design was more time efficient and, when used in combination with a traditional robust design, reduced the standard error of detection probability by 14% with only two hours of additional effort in the field. These field techniques and associated modeling approaches are applicable to studies of most taxa being marked and in some cases have individually been applied to studies of birds, fish, herpetofauna, and mammals.",18,2009,19,1,55,68
"Sovada, MA; Pietz, PJ; Conuerse, KA; King, DT; Hofmeister, EK; Scherr, P; Ip, HS",Impact of West Nile virus and other mortality factors on American white pelicans at breeding colonies in the northern plains of North America,BIOLOGICAL CONSERVATION,Article,"American white pelicans (Pelecanus erythrorhynchos) are colonial-nesting birds and their breeding sites are concentrated in a few small areas, making this species especially vulnerable to factors that can influence productivity, such as disease, disturbance, predation, weather events and loss of nesting habitat. Nearly half of the American white pelican population breeds at four colonies in the northern plains: Chase Lake National Wildlife Refuge (NWR) in North Dakota, Bitter Lake (Waubay NWR) in South Dakota, Medicine Lake NWR in Montana, and Marsh Lake in Minnesota. Thus, sustained productivity at these colonies is crucial to the health of the entire species. During the latter half of the 2002 and 2003 breeding seasons, unusually high mortality of pelican chicks was observed at these colonies. West Nile virus (WNv) was identified as one source of these losses. In 2004-2007 we monitored three major colonies in the northern plains to assess mortality of chicks during the late breeding season. We documented severe weather events, disturbance, and WNv as factors contributing to chick mortality. Before WNv arrived in the region in 2002, chick mortality after mid-July was <= 4%, and then jumped to as high as 44% in the years since WNv arrived. WNv kills older chicks that are no longer vulnerable to other common mortality factors (e.g., severe weather, gull predation) and typically would have survived to fledge; thus WNv appears to be an additive mortality factor. Persistence of lower productivity at American white pelican colonies in the northern plains might reduce the adult breeding population of this species in the region. Published by Elsevier Ltd.",18,2008,141,4,1021,1031
"Pauli, JN; Buskirk, SW","Risk-disturbance overrides density dependence in a hunted colonial rodent, the black-tailed prairie dog Cynomys ludovicianus",JOURNAL OF APPLIED ECOLOGY,Article,"Traditional understanding of how hunting affects vertebrate populations emphasizes competitive release and density dependence of vital rates, but more recent thinking has proposed complex non-lethal responses to hunting disturbance and predation risk. Colonial species have been proposed to be more vulnerable than dispersed, solitary species to disturbance and perceived risk from hunting. However, empirical comparisons of density dependence vs. risk disturbance in hunted species are few. To compare density dependence with risk-disturbance effects of hunting on individuals and populations of a colonial species, we tested the response of black-tailed prairie dogs Cynomys ludovicianus to shooting in a before-after, treatment-control experiment. We subjected five colonies to a pulse of shooting, and compared individual and colony attributes to those of five control colonies, protected from shooting. Surviving prairie dogs increased alert behaviours eightfold and reduced both above-ground activity and time spent foraging by 66%. Changes in behaviour lowered the body condition of surviving adults by 35%. Survivors of shooting, especially juveniles, exhibited elevated stress levels; faecal corticosterone concentrations increased by 80% among juveniles. Unexpectedly, overwinter survival rates did not increase in response to reduced prairie dog density. Colonies subjected to shooting experienced reproductive near-collapse the summer after shooting; pregnancy rates declined by 50% and reproductive output fell by 82%. Risk-disturbance overwhelmed any possible density-dependent effects of shooting in prairie dogs, which exhibited additive mortality in response to hunting, and reproductive failure 1 year after shooting. Risk-disturbance was the predominant mechanism whereby individuals and colonies were affected by hunting. Synthesis and applications. Because of their coloniality, prairie dogs possess certain life-history traits that predisposed them to be particularly susceptible to hunting-associated disturbances, which had cascading effects on population-level processes. Our findings contradict the general belief that small-bodied mammals quickly rebound from hunting exploitation via compensatory mortality and reproduction. Managers should consider measures to reduce recreational shooting intensity and duration in regions where black-tailed prairie dog colony growth and persistence is desired, yet allow shooting in areas where colonies conflict with landowner interests.",18,2007,44,6,1219,1230
"Aiba, S; Hanya, G; Tsujino, R; Takyu, M; Seino, T; Kimura, K; Kitayama, K",Comparative study of additive basal area of conifers in forest ecosystems along elevational gradients,ECOLOGICAL RESEARCH,Article; Proceedings Paper,"We examined the basal area of two life forms (conifers vs. broadleaf trees) along elevational gradients on Yakushima Island, Japan and on two series of geological substrate on Mount Kinabalu, Borneo. On Yakushima, total stand basal area abruptly increased from 700 to 1,050 m in accordance with the high dominance of conifers, indicating the presence of additive basal area of conifers in conifer-broadleaf mixed forests at higher elevations (1,050-1,300 m). Along two substrate series on Kinabalu, some forests at higher elevations (1,860-3,080 m) showed relatively high dominance of conifers, but conifer basal area did not appear to be additive. Conifers were emergents above the canopy of broadleaf trees in mixed forests on Yakushima, but two life forms usually coexisted in the single-story canopy in mixed forests on Kinabalu. Litterfall rate as a surrogate of productivity decreased with decreasing temperature along elevation on both the sites, but the rate of decrease was slower on Yakushima, where mixed forests at higher elevations showed relatively high rates. Thus, we suggest that additive basal area of conifers was linked to their emergent status, and that it enhanced productivity by complementary use of light by two life forms that occupy different stories. On Yakushima, typhoons are a major disturbance, but do not severely limit the height growth of conifers, allowing the development of two-story mixed forests. On Kinabalu, a major disturbance is El Nino-driven drought, and hydraulic limitation to tree height may explain the non-additive and non-emergent nature of conifers.",18,2007,22,3,439,450
"Roy, PS; Padalia, H; Chauhan, N; Porwal, MC; Gupta, S; Biswas, S; Jagdale, R","Validation of geospatial model for biodiversity characterization at landscape level - a study in Andaman & Nicobar Islands, India",ECOLOGICAL MODELLING,Article,"The present paper deals with Biodiversity Characterization at Landscape Level, preparing thematic maps for spatial representation of landscape parameters and then validation of the geospatial model using a three-tier approach, viz., landscape analysis, field data extrapolation and geospatial analysis, for two groups of islands in Indian subcontinent. On-screen visual interpretation approach based on IRS LISS-III and Landsat TM data sets was used to delineate the vegetation communities. Field survey attributes on species diversity, economical/medicinal uses and endemism were suitably linked with satellite image-derived landscape attributes in a geospatial domain. The landscape parameters, viz., fragmentation and disturbance index, clearly indicate that Nicobar Islands are less disturbed compared to Andaman. The phytosociological data of different vegetation types collected from 544 stratified sample points was recorded with ground coordinates. The plant communities of Andaman show high plant diversity in terms of number of species (523 species) and more heterogeneity compared to those of Nicobar (347 species). Biological richness was estimated as a function of six biodiversity attributes (i.e., spatial, phytosociological, social, physical, economical and ecological) to stratify forest vegetation in two phytogeographically distinct groups of tropical islands, viz., Andaman and Nicobar, using a customized software, SPLAM. Validation of ecological indices had always been a major challenge for ecologist. Here, we discuss a validation technique using field-driven species regression equations for fragmentation (FR), disturbance (DI) and biological richness (BR) indices and propose improvements in the biological richness methodology. The research question of establishment of linkages between expressions of diversity at different scales is sought and thereby validating the existing model outputs has been proposed. The sensitivity of in-field measurements with landscape parameters has been explicitly analyzed. During validation, the species richness, diversity and mean basal area have shown slow decrease with sudden rise in intermediate levels followed by a steep decline at increasing levels of fragmentation and disturbance. The empirically derived regression coefficient has significant correspondence (p < 0.05) in terms of community response in both island's groups. The vegetation communities in the forested landscape possess significant linkages with landscape scale processes, viz., FR and DI, as evident by the degree of correlation. The heterogeneity measured as diversity in habit group shows community dimensions in different spatial zones. The generation of baseline data on community ecology allows prioritization of planning process and evolves specific management practices. It may be concluded that the improved biodiversity assessment model and the designed validation techniques have enhanced the reliability of model thus widened the scope for its application in the rapid biodiversity assessment. (c) 2005 Elsevier B.V. All rights reserved.",18,2005,185,04-Feb,349,369
"Kasurinen, A; Kokko-Gonzales, P; Riikonen, J; Vapaavuori, E; Holopainen, T",Soil CO2 efflux of two silver birch clones exposed to elevated CO2 and O-3 levels during three growing seasons,GLOBAL CHANGE BIOLOGY,Article,"In the present open-top chamber experiment, two silver birch clones (Betula pendula Roth, clone 4 and clone 80) were exposed to elevated levels of carbon dioxide (CO2) and ozone (O-3), singly and in combination, and soil CO2 efflux was measured 14 times during three consecutive growing seasons (1999-2001). In the beginning of the experiment, all experimental trees were 7 years old and during the experiment the trees were growing in sandy field soil and fertilized regularly. In general, elevated O-3 caused soil CO2 efflux stimulation during most measurement days and this stimulation enhanced towards the end of the experiment. The overall soil respiration response to CO2 was dependent on the genotype, as the soil CO2 efflux below clone 80 trees was enhanced and below clone 4 trees was decreased under elevated CO2 treatments. Like the O-3 impact, this clonal difference in soil respiration response to CO2 increased as the experiment progressed. Although the O-3 impact did not differ significantly between clones, a significant time x clone x CO(2)x O-3 interaction revealed that the O-3-induced stimulation of soil respiration was counteracted by elevated CO2 in clone 4 on most measurement days, whereas in clone 80, the effect of elevated CO2 and O-3 in combination was almost constantly additive during the 3-year experiment. Altogether, the root or above-ground biomass results were only partly parallel with the observed soil CO2 efflux responses. In conclusion, our data show that O-3 impacts may appear first in the below-ground processes and that relatively long-term O-3 exposure had a cumulative effect on soil CO2 efflux. Although the soil respiration response to elevated CO2 depended on the tree genotype as a result of which the O-3 stress response might vary considerably within a single tree species under elevated CO2, the present experiment nonetheless indicates that O-3 stress is a significant factor affecting the carbon cycling in northern forest ecosystems.",18,2004,10,10,1654,1665
"Kennington, WJ; Gilchrist, AS; Goldstein, DB; Partridge, L",The genetic bases of divergence in desiccation and starvation resistance among tropical and temperate populations of Drosophila melanogaster,HEREDITY,Article,"Desiccation and starvation resistance are two stress-related traits which vary geographically with climate in Drosophila melanogaster. To investigate the contribution of epistasis to population divergence for these traits, we crossed tropical and temperate populations from two different geographical regions to produce F(1), F(2) and first backcross generations. Line-cross analysis of generation means revealed that genetic bases of divergence for both traits were complex and remarkably similar in a number of respects. Strong additive and dominance effects were present in most of the models, whereas epistatic and maternal effects were less common. The presence of epistatic effects in approximately half of the models presented in this study is consistent with line-cross studies of diverged traits in other animals, and does not support the view that epistasis is the predominant means by which populations diverge. In addition, evidence of maternal effects in both traits adds to a growing body of recent evidence that suggests maternal contributions to population differentiation are more widespread than previously thought. This finding undermines the accuracy of studies inferring epistasis directly from the magnitude of F(2) breakdown. More line-cross analysis studies of naturally diverged populations that take into account maternal effects will shed further light on the true incidence of epistasis and its importance in the evolutionary process.",18,2001,87,,363,372
"Pahkala, M; Laurila, A; Bjorn, LO; Merila, J",Effects of ultraviolet-B radiation and pH on early development of the moor frog Rana arvalis,JOURNAL OF APPLIED ECOLOGY,Article,"1. Although the potential negative effects of increased ultraviolet-B (UV-B) radiation on early life stages of aquatic organisms are widely recognized, possible synergistic effects with other stressors have seldom been studied outside the laboratory. We investigated the effects of UV-B radiation and pH on hatchability and early development of moor frog Rana arvalis eggs in the field and in laboratory experiments conducted during April 1998 and April 2000 in central Sweden. 2. In the field experiments, no evidence was found for reduced hatchability or increased frequency of developmental anomalies of embryos exposed to ambient levels of UV-B compared with embryos shielded from UV-B radiation. 3. Hatchlings shielded from ambient UV-B radiation did not grow larger than their exposed full-sibs, giving no support to the hypotheses that (i) the repair of cellular UV-B damage might be energetically costly nor (ii) that UV-B-induced photoproducts directly reduce growth. 4. Although low pH (5.0) reduced hatchability, increased frequency of developmental anomalies and reduced early embryonic growth in R. arvalis, there was no evidence for synergistic effects of pH and UV-B on any of these traits. 5. The lack of UV-B radiation effects on the development of R. arvalis embryos cannot be ascribed to relatively low effective daily doses of radiation (c. 0.43 kJ m(-2)) during the field experiments, as in the laboratory even higher doses at UV-B 1.25 kJ m(-2) and 1.58 kJ m(-2) (all DNA weighed) had no negative effects. 6. These results suggest that current levels of UV-B radiation in northern Europe are not likely to reduce fitness in natural populations of the moor frog, even in areas already stressed by acidity.",18,2001,38,3,628,636
"Ray, GC",Coastal-marine discontinuities and synergisms: Implications for biodiversity conservation,BIODIVERSITY AND CONSERVATION,Article,"Coastal-marine biodiversity conservation must focus increasingly at the level of the land- and seascape. Five cases illustrate discontinuities and synergisms and how system changes may take place. For Caribbean coral reefs, the result of overfishing and disease has been a 'shrinkage' in the entire system, the effects of which may cascade through the coastal seascape. For Beringia, patterns of benthic diversity are best understood in a manner that matches the multiscale, integrated dynamics of weather, ice, marine mammal feeding, and community structure. In the case of US East Coast estuaries, oyster reefs may be keystone elements, with important effects on functional diversity. Large-scale coastal systems depend upon the connectivity of fresh and marine waters in the coastal zone, having implications for the apparent stochasticity of coastal fisheries. And, for a coastal barrier-lagoon site, a state change may be described in terms of a combination of succession, the attainment of a quasi-equilibrium state, and disturbance. A profound problem for conservation is that there is very little information about the relationship between species diversity and ecological function. Coastal-marine biodiversity conservation is best addressed at the level of the land- and seascape.",18,1996,5,9,1095,1108
