"authors","title","journal","type","abstract","times_cited","PY","VL","IS","BP","EP","synergy","antag","additive","check"
"Leonhardt, SD; Rasmussen, C; Schmitt, T","genes versus environment: geography and phylogenetic relationships shape the chemical profiles of stingless bees on a global scale","proceedings of the royal society b-biological sciences","Article","chemical compounds are highly important in the ecology of animals. in social insects, compounds on the body surface represent a particularly interesting trait, because they comprise different compound classes that are involved in different functions, such as communication, recognition and protection, all of which can be differentially affected by evolutionary processes. here, we investigate the widely unknown and possibly antagonistic influence of phylogenetic and environmental factors on the composition of the cuticular chemistry of tropical stingless bees. we chose stingless bees because some species are unique in expressing not only self-produced compounds, but also compounds that are taken up from the environment. by relating the cuticular chemistry of 40 bee species from all over the world to their molecular phylogeny and geographical occurrence, we found that distribution patterns of different groups of compounds were differentially affected by genetic relatedness and biogeography. the ability to acquire environmental compounds was, for example, highly correlated with the bees' phylogeny and predominated in evolutionarily derived species. owing to the presence of environmentally derived compounds, those species further expressed a higher chemical and thus functional diversity. in old world species, chemical similarity of both environmentally derived and self-produced compounds was particularly high among sympatric species, even when they were less related to each other than to allopatric species, revealing a strong environmental effect even on largely genetically determined compounds. thus, our findings do not only reveal an unexpectedly strong influence of the environment on the cuticular chemistry of stingless bees, but also demonstrate that even within one morphological trait (an insect's cuticular profile), different components (compound classes) can be differentially affected by different drivers (relatedness and biogeography), depending on the functional context.",6,2013,280,"1762","","",0,1,0,1
"Mcleod, E; Anthony, KRN; Andersson, A; Beeden, R; Golbuu, Y; Kleypas, J; Kroeker, K; Manzello, D; Salm, RV; Schuttenberg, H; Smith, JE","preparing to manage coral reefs for ocean acidification: lessons from coral bleaching","frontiers in ecology and the environment","Review","ocean acidification is a direct consequence of increasing atmospheric carbon dioxide concentrations and is expected to compromise the structure and function of coral reefs within this century. research into the effects of ocean acidification on coral reefs has focused primarily on measuring and predicting changes in seawater carbon (c) chemistry and the biological and geochemical responses of reef organisms to such changes. to date, few ocean acidification studies have been designed to address conservation planning and management priorities. here, we discuss how existing marine protected area design principles developed to address coral bleaching may be modified to address ocean acidification. we also identify five research priorities needed to incorporate ocean acidification into conservation planning and management: (1) establishing an ocean c chemistry baseline, (2) establishing ecological baselines, (3) determining species/habitat/community sensitivity to ocean acidification, (4) projecting changes in seawater carbonate chemistry, and (5) identifying potentially synergistic effects of multiple stressors.",6,2013,11,"1","20","27",1,0,0,1
"McLaughlin, OB; Emmerson, MC; O'Gorman, EJ","habitat isolation reduces the temporal stability of island ecosystems in the face of flood disturbance","advances in ecological research, vol 48: global change in multispecies systems, pt 3","Review; Book Chapter","natural ecosystems are increasingly exposed to multiple anthropogenic stressors, including land-use change, deforestation, agricultural intensification, and urbanisation, all of which have led to widespread habitat fragmentation, which is also likely to be amplified further by predicted climate change. the potential interactive effects of these different stressors cannot be determined by studying each in isolation, although such synergies have been largely ignored in ecological field studies to date. here, we use a model system of naturally fragmented islands in a braided river network, which is exposed to periodic inundation, to investigate the interactive effects of habitat isolation and flood disturbance. food web structure was similar across the islands during periods of hydrological stability, but several key properties were altered in the aftermath of flood disturbance, based on distance of the islands from the regional source pool of species: taxon richness and mean food chain length declined with habitat isolation after flooding, while the proportion of basal species increased. greater species turnover through time reflected the slower process of re-colonisation on the more distant islands following disturbance. increased variability of several food web properties over a 1-year period highlighted the reduced temporal stability of isolated habitat fragments. many of these effects reflected the differential successes of predator and prey species at re-colonising the islands: even though larger, more mobile consumers may reach the more distant islands first, they cannot establish populations until the lower trophic levels have successfully reassembled. these results highlight the susceptibility of fragmented ecosystems to environmental perturbations.",6,2013,48,"","225","284",1,0,0,1
"Storkey, J; Brooks, D; Haughton, A; Hawes, C; Smith, BM; Holland, JM","using functional traits to quantify the value of plant communities to invertebrate ecosystem service providers in arable landscapes","journal of ecology","Article","1. the loss of farmland biodiversity threatens the sustainability of ecosystem services delivered within agricultural landscapes. the functional trait approach has been successfully used in grassland systems to quantify trade-offs and synergies between services delivered directly by plant communities. many of the services delivered by arable landscapes, however, depend on invertebrate consumers, and the application of the trait-based approach to these systems depends on quantifying functional relationships between trophic levels. 2. two data sets of plant and invertebrate communities from a range of annual crops and uncropped land habitats were analysed. the community-weighted means of plant functional traits were calculated for the vegetation samples and used as the explanatory variables in a multivariate analysis of plant species composition across habitats. the constrained axes scores were used in statistical models to explain the variance in associated total invertebrate abundance, phytophagous invertebrates and invertebrate numbers weighted by importance in the diet of farmland bird chicks. 3. the multivariate analysis discriminated between plant communities characterized by ruderal traits (high specific leaf area and early flowering) and those with more competitive traits. more ruderal communities also supported proportionally more invertebrates. the suite of traits included in the analysis explained a greater proportion of the variance in invertebrate abundance between uncropped habitats, as opposed to between annual crops. 4. the overlap between the plant traits that respond to disturbance (functional response traits) and those that affect the abundance of phytophagous invertebrates (functional effect traits) and the diet of farmland birds demonstrates the potential for using common functional metrics to integrate the assessment of an ecosystem service across different habitats particularly on uncropped land where intensity of disturbance is the main environmental driver. 5. synthesis. the quantification of functional linkages between arable plants and the abundance of their associated invertebrate consumer communities is the first step in extending the trait-based approach to quantify trade-offs and synergies between ecosystem services developed in grassland systems to landscapes dominated by arable crops. however, applying the functional approach to in-crop weed communities and other service providers such as pollinators will require the incorporation of additional response and effect traits.",6,2013,101,"1","38","46",1,0,0,1
"Orledge, JM; Blount, JD; Hoodless, AN; Pike, TW; Royle, NJ","synergistic effects of supplementation of dietary antioxidants during growth on adult phenotype in ring-necked pheasants, phasianus colchicus","functional ecology","Article","1. oxidative stress may provide a proximate link between investment in growth and/or reproduction and investment in self-maintenance. dietary antioxidants, such as carotenoids and vitamin e, provide potentially important roles in regulating these trade-offs. recent work suggests that carotenoids may have synergistic effects in combination with non-pigmentary antioxidants (e.g. vitamin e) on the expression of sexually selected traits in adulthood. however, these studies involved the supplementation of antioxidants to adults so did not take account of early life-history effects. 2. here, we test the independent and combined roles of supplementation of carotenoids and vitamin e during early growth in regulating the expression of traits in adulthood, in ring-necked pheasants, phasianus colchicus. individuals supplemented with a combination of carotenoids and vitamin e were larger at adulthood than individuals receiving other treatment diets (including vitamin e or carotenoids alone), but there were no differences in ornament expression, immune function, the swelling response to phytohaemagglutinin or levels of oxidative damage. 3. this shows that there are synergistic early life-history effects of these dietary antioxidants on body size at adulthood and suggest that the allocation of limited antioxidant resources are prioritized towards traits that increase competitive ability rather than sexual attractiveness in this strongly sexually selected species.",6,2012,26,"1","254","264",1,0,0,1
"Noonan, SHC; Jones, GP; Pratchett, MS","coral size, health and structural complexity: effects on the ecology of a coral reef damselfish","marine ecology progress series","Article","the structure and dynamics of animal populations are strongly influenced by the physical and biotic characteristics of their habitats. however, in complex habitats such as coral reefs, the particular habitat features that are important and the mechanisms that impact on populations are poorly understood. this study investigates the influence of coral colony size, health and branching structure of the host coral seriatopora hystrix on the ecology of the resident damselfish chromis retrofasciata. field observations indicated c. retrofasciata preferentially occupied larger s. hystrix colonies, but among occupied corals, group size was greatest on colonies of an intermediate size and with wider branch spacing. healthy corals were observed to support higher abundances. the effects of both coral health (live vs. dead) and coral complexity (fine, medium and coarse branching) on survivorship of stocked juvenile c. retrofasciata were examined in a patch reef experiment. survival was 20% higher in living colonies compared to dead ones, and fish in medium complexity coral exhibited approximately 10 and 20% greater survival than those in both the low and high complexity categories, respectively. these factors had an additive effect with the highest survival observed on healthy colonies with intermediate complexity (95%) and the lowest on highly complex, dead corals (55%). body size distributions were also reduced on corals with the narrowest branch spacing. during habitat selection trials, juveniles were observed to preferentially occupy colonies with intermediate branch spacing. prey may prefer corals of intermediate spacing and survive better as such habitats provide shelter that obstructs predator access. this study provides evidence that suggests small reef fish species will be sensitive to disturbances that result in the loss of live coral and alter preferred structural complexity of habitats.",6,2012,456,"","127","137",0,0,1,1
"Cantarello, E; Newton, AC; Hill, RA; Tejedor-Garavito, N; Williams-Linera, G; Lopez-Barrera, F; Manson, RH; Golicher, DJ","simulating the potential for ecological restoration of dryland forests in mexico under different disturbance regimes","ecological modelling","Article","examining the potential for ecological restoration is important in areas where anthropogenic disturbance has degraded forest landscapes. however, the conditions under which restoration of degraded tropical dry forests (tdf) might be achieved in practice have not been determined in detail. in this study, we used landis-ii, a spatially explicit model of forest dynamics, to assess the potential for passive restoration of tdf through natural regeneration. the model was applied to two mexican landscapes under six different disturbance regimes, focusing on the impact of fire and cattle grazing on forest cover, structure and composition. model results identified two main findings. first, tropical dry forests are more resilient to anthropogenic disturbance than expected. results suggested that under both a scenario of small, infrequent fires and a scenario of large, frequent fires, forest area can increase relatively rapidly. however, forest structure and composition differed markedly between these scenarios. after 400 years, the landscape becomes increasingly occupied by relatively shade-tolerant species under small, infrequent fires, but only species with both relatively high shade tolerance and high fire tolerance can thrive under conditions with large, frequent fires. second, we demonstrated that different forms of disturbance can interact in unexpected ways. our projections revealed that when grazing acts in combination with fire, forest cover, structure and composition vary dramatically depending on the frequency and extent of the fires. results indicated that grazing and fire have a synergistic effect causing a reduction in forest cover greater than the sum of their individual effects. this suggests that passive landscape-scale restoration of tdf is achievable in both mexican study areas only if grazing is reduced, and fires are carefully managed to reduce their frequency and intensity. (c) 2011 elsevier b.v. all rights reserved.",6,2011,222,"5","1112","1128",1,0,0,1
"Huijbers, CM; Nagelkerken, I; Govers, LL; van de Kerk, M; Oldenburger, JJ; de Brouwer, JHF","habitat type and schooling interactively determine refuge-seeking behavior in a coral reef fish throughout ontogeny","marine ecology progress series","Article","habitat selection by coral reef fish is influenced by a variety of biological and abiotic factors, but the relative importance of these factors is expected to change throughout ontogeny, especially for species that utilize different habitats during their life cycle. in this study, 2 in situ choice experiments were designed to test the individual as well as the interactive effects of habitat structure and schooling (with conspecifics or heterospecifics) on refuge-seeking behavior of a coral reef fish. the experiments were conducted for 3 size-classes of the common reef fish haemulon flavolineatum, a species that shows multiple habitat shifts throughout its ontogeny. we tested the hypothesis that, due to the additive effects of schooling and structure in providing suitable refuge, fish would be more attracted to a microhabitat with conspecifics or heterospecifics than to a microhabitat or conspecifics alone. in the habitat-only experiment, early juveniles (< 3 cm fork length) showed no preference for any microhabitat structures, whereas larger fish preferred complex mangrove structure to seagrass, rubble, or coral. in the second experiment, which offered various combinations of habitat, including habitat with both conspecifics and heterospecifics, the preference for mangrove structure was completely replaced by attraction to conspecifics for all size-classes. unexpectedly, the combination of conspecifics and habitat structure showed no additive effect. the results demonstrate that although h. flavolineatum makes multiple shifts in habitat throughout its life cycle, in the absence of other biological or environmental drivers preference for shelter habitat past the early post-settlement stage remains the same. the study further demonstrates the critical role of the presence of conspecifics in microhabitat choice, and provides a better understanding of the relative importance of these factors, whether in isolation or additively, in selection of refuge habitat by a reef fish.",6,2011,437,"","241","251",0,0,1,1
"Vuleta, A; Jovanovic, SM; Seslija, D; Tucic, B","seasonal dynamics of foliar antioxidative enzymes and total anthocyanins in natural populations of iris pumila l.","journal of plant ecology","Article","aims plants in their natural habitats frequently cope with a multitude of abiotic stresses, such as high light intensity, extreme temperatures and water deficit, which often co-occur during periods of drought, especially in semi-arid and arid regions exposure of plants to stressful environmental conditions usually induce overproduction of reactive oxygen species (ros) that, as highly toxic derivatives of o-2, can assault all cell macromolecules, leading to the disruption of cellular homeostasis and, consequently, the uncoupling of major metabolic processes, the photosynthesis and photorespiration in order to minimize ros-mediated cellular damage, plants have evolved highly efficient antioxidative defense systems that include both enzymatic and non-enzymatic components since abiotic stress call also operate as a strong evolutionary force that shapes adaptations in natural plant populations, the aim of this study was to examine the seasonal variation patterns of two distinct antioxidative systems, ros-scavenging enzymes and anthocyanin pigments, in the leaf tissue of a steppe plant, iris pumila, as expressed under contrasting light conditions that the species regularly experiences in the wild methods we selected two natural populations of i pumila inhabiting the alternative radiation environments in the deliblato sands, a sun-exposed dune site and a woodland understory the specific activity of three antioxidative enzymes, superoxide dismutase (sod) catalase (cat) and peroxidase (pod) and the content of total anthocyanins were examined in leaves of i pumila plants collected from each of the 31 iris clones (17 in the exposed popula tion and 14 in the shaded population) once during each of the three seasons, spring, summer and autumn in 2004 specifically, a fully expanded leaf was cut from each clonal plant between 15 00 and 16 00 h, immediately frozen in liquid nitrogen and stored at -70 degrees c until preparation important findings generally, all three antioxidative enzymes were up-regulated in summer-harvested leaves compared to their spring or autumn counterparts, as was observed for the concentration of foliar anthocyanins, indicating that strengthening of antioxidant systems was the key mechanism for long-term acclimatization of i pumila plants to stressful environmental conditions within their natural ecological niches when plants from contrasting radiation environments were compared, sod and cat activities appeared to be greater in shade-exposed than in sun-exposed leaves conversely, pod activity and the content of foliar anthocyanins were notably higher in foliage experiencing full sunlight relative to those developed under vegetation canopy, suggesting the synergistic function of these two molecules in protecting leaf cells against photoinhibitory and photooxidative effects of strong light",6,2010,3,"1","59","69",1,0,0,1
"Cornaglia, PS; Schrauf, GE; Deregibus, VA","flooding and grazing promote germination and seedling establishment in the perennial grass paspalum dilatatum","austral ecology","Article","seed germination and seedling emergence are key processes for population recruitment. flooding and grazing are disturbances forming gaps that may strongly influence recruitment patterns in space and time, but their combined effects and action mechanisms have rarely been addressed. in this study we analysed the effects of microhabitat conditions associated with winter flooding and spring-summer defoliation on seed germination and seedling establishment of paspalum dilatatum, a dominant perennial c(4) grass in native grasslands of the flooding pampa, argentina. the dynamics of seedling emergence from natural seed banks and buried seeds was studied in a factorial experiment with flooding and defoliation treatments applied to soil monoliths (mesocosms) collected from natural grassland. additional laboratory experiments were applied to investigate seed germination under different combinations of temperature, light quality and simulated flooding. seed germination and seedling emergence of p. dilatatum were promoted by flooding and high intensity defoliation. gaps generated by flooding were maintained by high intensity defoliation exercising a synergistic effect on survival seedlings. flooding resulted in the breaking of seed dormancy and higher germination rates associated with alternating temperature and the activation of the phytochrome system. our results indicate that microhabitat conditions associated with the disturbances forming gaps, such as flooding and heavy grazing, synergistically promote the recruitment process of this dominant grass species.",6,2009,34,"3","343","350",1,0,0,1
"Lewison, R","population responses to natural and human-mediated disturbances: assessing the vulnerability of the common hippopotamus (hippopotamus amphibius)","african journal of ecology","Article","vulnerable wildlife populations can face a suite of anthropogenic activities that may threaten their persistence. however, human-mediated disturbances are likely to be coincident with natural disturbances that also influence a population. this synergism is often neglected in population projection models. here i evaluate the effects of natural (rainfall fluctuation) and human disturbances (habitat loss and unregulated hunting) using a multi-matrix environmental state population model for the common hippopotamus (hippopotamus amphibius). by evaluating each disturbance type (natural and human) alone and then together, i explicitly consider the importance of incorporating realistic environmental variability into population projection models. the model population was most strongly affected by moderate habitat loss, which yielded the highest probability of crossing the risk thresholds over the 60 year time period, although these probabilities were relatively low (<= 0.31). however, the likelihood of crossing the risk thresholds were two to five times as high when human-mediated and natural disturbances were considered together. when these probabilities were calculated per year of the simulation, the results suggested that even relatively mild human disturbances, when considered in conjunction with realistic natural disturbance, resulted in a high probability (> 0.50) of substantial declines within decades. the model highlights the importance of integrating realistic natural disturbances into population models, and suggests that, despite locally abundant populations, protected hippopotamus populations may decline over the next 60 years in response to a combination of environmental fluctuations and human-mediated threats.",6,2007,45,"3","407","415",1,0,0,1
"Sera, B; Falta, V; Cudlin, P; Chmelikova, E","contribution to knowledge of natural growth and development of mountain norway spruce seedlings","ekologia-bratislava","Article","influence of the climatic and pollution stress, soil substrates, mosses and dominant herb species on the norway spruce (picea abies l. k a r s t.) seedling development and their cohort growth was investigated in six permanent research plots in the krkonosc mts from 1995 to 1997. the results showed dependence of seedling development on the synergic influence of the multiple stress. the highest number of seedling cohorts was observed in the least damaged plots (the modry dul and the sluncene udoli plots), where climatic conditions are not so severe, the canopy cover is high and consequently litter coverage is high, too. on the contrary, no seedlings were found in the heavily damaged mumlavska hora plot and only a few seedlings were observed in the alzbetinka plot (the north exposition and also relatively high polluted plot). one of the important secondary stress factors is an expansive growth of some dominant plants species. the majority of seedlings was germinating and growing in patches covered by litter. the seedling development in other substrates (as mosses and some herb layer communities) was much less frequent.",6,2000,19,"4","420","434",1,0,0,1
"Tanaka, Y","density-dependent selection on continuous characters: a quantitative genetic model","evolution","Article","a quantitative genetic model of density-dependent selection is presented and analysed with parameter values obtained from laboratory selection experiments conducted by mueller and his coworkers. the ecological concept of r- and k-selection is formulated in terms of selection gradients on underlying phenotypic characters that influence the density-dependent measure of fitness. hence the selection gradients on traits are decomposed into two components, one that changes in the direction to increase r, and one that changes in the direction to increase k. the relative importance of the two components is determined by temporal fluctuations in population density. the evolutionary rate of r and k (per-generation changes in r and k due to the genetic responses of the underlying traits) is also formulated. numerical simulation has shown that with moderate genetic variances of the underlying characters, r and k can evolve rapidly and the evolutionary rate is influenced by synergistic interaction between characters that contribute to r and k. but strong r-selection can occur only with severe and continuous disturbances of populations so that the population density is kept low enough to prevent k-selection.",6,1996,50,"5","1775","1785",1,0,0,1
"Leal, IR; Wirth, R; Tabarelli, M","the multiple impacts of leaf-cutting ants and their novel ecological role in human-modified neotropical forests","biotropica","Review","herbivory has been identified as a potent evolutionary force, but its ecological impacts have been frequently underestimated. leaf-cutting ants represent one of the most important herbivores of the neotropics and offer an interesting opportunity to address the role played by herbivorous insects through a perspective that embraces population- to ecosystem-level effects. here we: (1) qualitatively summarize the multiple ways leaf-cutting ants interact with food plants and their habitats and elucidate the ultimate outcome of such interactions at multiple organization levels; (2) update our understanding of leaf-cutting ant-promoted disturbance regimes; and (3) examine potential ecological roles by leaf-cutting ants within the context of human-modified landscapes to guide future research agendas. first, we find that leaf-cutting ants show that some herbivorous insects are able to generate ecologically important disturbance regimes via non-trophic activities. second, impacts of leaf-cutting ants can be observed at multiple spatio-temporal scales and levels of biological organization. third, ecosystem-level effects from leaf-cutting ants are ecosystem engineering capable not only of altering the abundance of other organisms, but also the successional trajectory of vegetation. finally, effects of leaf-cutting ants are context-dependent, species-specific, and synergistically modulated by anthropogenic interferences. future research should examine how leaf-cutting ants respond to deforestation and influence remaining vegetation in human-modified landscapes. by promoting either heterogeneity or homogeneity, leaf-cutting ants operate not only as agricultural pests but also as ecological key players.",5,2014,46,"5","516","528",1,0,0,1
"Orsenigo, S; Mondoni, A; Rossi, G; Abeli, T","some like it hot and some like it cold, but not too much: plant responses to climate extremes","plant ecology","Article","current climatic models predict increasing frequency and magnitude of extreme climatic events (eces). ecological studies recognize the importance of these extremes as drivers of plant growth and mortality, as well as drivers of ecological and evolutionary processes. here we review observational and experimental studies on eces on herbaceous plants and shrubs. extreme events considered were heat waves, drought, advanced or delayed snowmelt, heavy rainfalls, frosts, pulsed watering and flooding. we analysed 39 studies dealing with direct response of plant to eces in different ecosystems, with a particular focus on cold ecosystems (alpine and arctic). although the number of studies increases every year, the understanding of ecological consequences of eces is fragmentary. in general, eces affected negatively on physiological processes (efficiency of photosystem ii, stomatal conductance and leaf water potential), productivity and reproduction, and had consequences on population demography and recruitment several years after ece. indeed, the plant responses to eces were species specific and depended on the plant life stage and the timing of ece. in fact, the magnitude of the effect of eces decreased over the growing season. drought had the most severe effect on plants, while heat waves had minor effect if water was available. the overlap of different eces had an additive effect (e.g. drought associated to heat-waves). in general, both neutral or positive plant responses were found and acclimation is possible. in some cases, eces exert a strong selective pressure on plant species.",5,2014,215,"7","677","688",0,0,1,1
"Thebault, A; Mariotte, P; Lortie, CJ; MacDougall, AS","land management trumps the effects of climate change and elevated co2 on grassland functioning","journal of ecology","Article","1. grasslands cover similar to 30% of the earth's terrestrial surface and provide many ecosystem services. many grasslands are heavily managed to maximize these services for human benefit, but the outcome of management is anticipated to be increasingly influenced by various aspects of climate change and elevated atmospheric co2. the relative importance of global change vs. land management on grasslands is largely unknown. 2. a meta-analysis is used here to examine drivers at both scales primarily targeting services provided by grasslands relating to plant productivity (above- and below-ground biomass) and soil processes (nutrients and soil respiration) in 38 manipulative experiments published in the last decade. we specifically target effects of (i) single and combined land management practices (lms), (ii) single and combined factors relating to broad-scale climate change and elevated co2, and (iii) combined management practices and changes to climate and co2. collectively, this examines the general efficacy of global change models in predicting changes to grassland functioning. 3. we found that combinations of management practices had approximately double the explanatory power for variation in grassland services compared with individual or interactive effects of factors associated with climate change and co2. these interacting management practices such as nutrient additions and defoliation predominantly influenced functions associated with productivity or biomass both below and above ground. the effects of interacting factors of climate and co2 influenced a wider range of ecosystem functions, but the magnitude of these effects was relatively smaller. 4. interactions between management practices or between climate change/co2 factors always had higher explanatory power than any factor in isolation indicating that multivariate synergistic models of environmental change can better describe impacts on ecosystem function in plant communities (e.g. relative to univariate climate-based models). given that the magnitude and direction (positive or negative) of the interactions varied widely, this also implies that the outcomes of these multivariate interactions can vary spatially, temporally or by immediate context (e.g. management prescriptions). 5. synthesis. although our work confirms how climate change and co2 can affect many ecosystem-based functional attributes, it suggests that combinations of lms remain the dominant set of factors in determining the performance of grassland plant communities. land management may thus be critical for influencing projected responses to future climate change and elevated co2 in models of grassland function at least for factors relating to primary production.",5,2014,102,"4","896","904",1,0,0,1
"Grimaldi, M; Oszwald, J; Doledec, S; Hurtado, MD; Miranda, ID; de Sartre, XA; de Assis, WS; Castaneda, E; Desjardins, T; Dubs, F; Guevara, E; Gond, V; Lima, TTS; Marichal, R; Michelotti, F; Mitja, D; Noronha, NC; Oliveira, MND; Ramirez, B; Rodriguez, G; Sarrazin, M; da Silva, ML; Costa, LGS; de Souza, SL; Veiga, I; Velasquez, E; Lavelle, P","ecosystem services of regulation and support in amazonian pioneer fronts: searching for landscape drivers","landscape ecology","Article","landscape dynamics result from forestry and farming practices, both of which are expected to have diverse impacts on ecosystem services (es). in this study, we investigated this general statement for regulating and supporting services via an assessment of ecosystem functions: climate regulation via carbon sequestration in soil and plant biomass, water cycle and soil erosion regulation via water infiltration in soil, and support for primary production via soil chemical quality and water storage. we tested the hypothesis that patterns of land-cover composition and structure significantly alter es metrics at two different scales. we surveyed 54 farms in two amazonian regions of brazil and colombia and assessed land-cover composition and structure from remote sensing data (farm scale) from 1990 to 2007. simple and well-established methods were used to characterize soil and vegetation from five points in each farm (plot scale). most es metrics were significantly correlated with land-use (plot scale) and land-cover (farm scale) classifications; however, spatial variability in inherent soil properties, alone or in interaction with land-use or land-cover changes, contributed greatly to variability in es metrics. carbon stock in above-ground plant biomass and water infiltration rate decreased from forest to pasture land covers, whereas soil chemical quality and plant-available water storage capacity increased. land-cover classifications based on structure metrics explained significantly less es metric variation than those based on composition metrics. land-cover composition dynamics explained 45 % (p < 0.001) of es metric variance, 15 % by itself and 30 % in interaction with inherent soil properties. this study describes how es evolve with landscape changes, specifying the contribution of spatial variability in the physical environment and highlighting trade-offs and synergies among es.",5,2014,29,"2","311","328",1,0,0,1
"Radhakrishnan, R; Kang, SM; Baek, IY; Lee, IJ","characterization of plant growth-promoting traits of penicillium species against the effects of high soil salinity and root disease","journal of plant interactions","Article","this study investigated the plant growth promotion and stress mitigation effects of penicillium species rda01, nics01, and dfc01 on sesame (sesamum indicum l.) plants. the fungal isolates nics01 and dfc01 significantly enhanced shoot length, root length, and fresh and dry seedling weight, due to the secretion of various concentrations of amino acids (asp, thr, ser, asn, glu, gly, ala, val, met, ile, leu, tyr, phe, lys, his, try, and arg). penicillium sp. nics01 increased the amount of chlorophylls, proteins, amino acids, and lignans in the sesame plants more so than in controls. sesame plant growth was stunted by high soil salinity, and application of the three fungal isolates increased plant survival. the rda01 and nics01 strains significantly increased shoot length and fresh and dry seedling weights under salt stress conditions. in addition, an in vitro study of the penicillium spp. revealed their antagonistic activity toward the pathogenic fungi fusarium spp. fusarium spp. reduce shoot length; co-inoculation with the nics01 or dfc01 isolates significantly increased shoot length in infected plants. our results suggest that exogenous application of the penicillium sp. nics01 can act as a biofertilizer and a biocontrol agent to improve plant growth and enhance plant survival against salt stress and fusarium infection.",5,2014,9,"1","754","762",0,1,0,1
"Tamburello, L; Bulleri, F; Bertocci, I; Maggi, E; Benedetti-Cecchi, L","reddened seascapes: experimentally induced shifts in 1/f spectra of spatial variability in rocky intertidal assemblages","ecology","Article","patterns in rocky intertidal seaweed biodiversity influence the resilience and functioning of these important primary producer communities. in turn, seaweed biodiversity patterns are the result of many ecological factors. we determined the influences of thermal and desiccation stress, herbivory, and nutrients on seaweed biodiversity on a northern california rocky shoreline. in a fully crossed design at two tidal heights at wave-protected and exposed sites, we deployed screens to reduce stress, removed herbivores, and added nutrients for 18 months. the treatments reduced temperature, increased relative humidity, decreased herbivore abundances, and increased nitrogen in both seawater and seaweeds. seaweed abundance and biodiversity (cover, biomass, species richness, diversity, evenness, and community composition) were influenced by tidal height, physical stress, and herbivores. wave exposure affected all response variables except biomass and evenness. stress and herbivores had independent additive effects on seaweed abundance and diversity. physical stress did not make the community as a whole more susceptible to herbivores, and screens had overarching positive effects on seaweed biodiversity even though they also had positive effects on herbivore abundance. nutrients had virtually no effect on seaweed biodiversity, and we observed no bottom-up effects of nutrient addition on herbivore density or biomass. small green algae and diatoms were important contributors to overall algal cover and to changes in composition across treatments, but larger macroalgae dominated the species richness response. the striking absence of interactions between stress and herbivory highlights how seaweed communities can respond independently to important drivers of biodiversity. thus, nonadditive, potentially synergistic effects do not necessarily complicate the understanding of how seaweed biodiversity responds to environmental change.",5,2013,94,"5","1102","1111",1,0,1,2
"Moore, MN; Depledge, MH; Fleming, L; Hess, P; Lees, D; Leonard, P; Madsen, L; Owen, R; Pirlet, H; Seys, J; Vasconcelos, V; Viarengo, A","oceans and human health (ohh): a european perspective from the marine board of the european science foundation (marine board-esf)","microbial ecology","Review","the oceans and coastal seas provide mankind with many benefits including food for around a third of the global population, the air that we breathe and our climate system which enables habitation of much of the planet. however, the converse is that generation of natural events (such as hurricanes, severe storms and tsunamis) can have devastating impacts on coastal populations, while pollution of the seas by pathogens and toxic waste can cause illness and death in humans and animals. harmful effects from biogenic toxins produced by algal blooms (habs) and from the pathogens associated with microbial pollution are also a health hazard in seafood and from direct contact with water. the overall global burden of human disease caused by sewage pollution of coastal waters has been estimated at 4 million lost person-years annually. finally, the impacts of all of these issues will be exacerbated by climate change. a holistic systems approach is needed. it must consider whole ecosystems, and their sustainability, such as integrated coastal zone management, is necessary to address the highly interconnected scientific challenges of increased human population pressure, pollution and over-exploitation of food (and other) resources as drivers of adverse ecological, social and economic impacts. there is also an urgent and critical requirement for effective and integrated public health solutions to be developed through the formulation of politically and environmentally meaningful policies. the research community required to address ""oceans & human health"" in europe is currently very fragmented, and recognition by policy makers of some of the problems, outlined in the list of challenges above, is limited. nevertheless, relevant key policy issues for governments worldwide include the reduction of the burden of disease (including the early detection of emerging pathogens and other threats) and improving the quality of the global environment. failure to effectively address these issues will impact adversely on efforts to alleviate poverty, sustain the availability of environmental goods and services and improve health and social and economic stability; and thus, will impinge on many policy decisions, both nationally and internationally. knowledge exchange (ke) will be a key element of any ensuing research. ke will facilitate the integration of biological, medical, epidemiological, social and economic disciplines, as well as the emergence of synergies between seemingly unconnected areas of science and socio-economic issues, and will help to leverage knowledge transfer across the european union (eu) and beyond. an integrated interdisciplinary systems approach is an effective way to bring together the appropriate groups of scientists, social scientists, economists, industry and other stakeholders with the policy formulators in order to address the complexities of interfacial problems in the area of environment and human health. the marine board of the european science foundation working group on ""oceans and human health"" has been charged with developing a position paper on this topic with a view to identifying the scientific, social and economic challenges and making recommendations to the eu on policy-relevant research and development activities in this arena. this paper includes the background to health-related issues linked to the coastal environment and highlights the main arguments for an ecosystem-based whole systems approach.",5,2013,65,"4","889","900",1,0,0,1
