"authors","title","source","type","abstract","times_cited","PY","VL","IS","BP","EP","synergy","antag","additive","check"
"Heath, KD; Burke, PV; Stinchcombe, JR","coevolutionary genetic variation in the legume-rhizobium transcriptome","MOLECULAR ECOLOGY","Article","coevolutionary change requires reciprocal selection between interacting species, where the partner genotypes that are favoured in one species depend on the genetic composition of the interacting species. coevolutionary genetic variation is manifested as genotype x genotype (g x g) interactions for fitness in interspecific interactions. although quantitative genetic approaches have revealed abundant evidence for g x g interactions in symbioses, the molecular basis of this variation remains unclear. here we study the molecular basis of g x g interactions in a model legume-rhizobium mutualism using gene expression microarrays. we find that, like quantitative traits such as fitness, variation in the symbiotic transcriptome may be partitioned into additive and interactive genetic components. our results suggest that plant genetic variation had the largest influence on nodule gene expression and that plant genotype and the plant genotype x rhizobium genotype interaction determine global shifts in rhizobium gene expression that in turn feedback to influence plant fitness benefits. moreover, the transcriptomic variation we uncover implicates regulatory changes in both species as drivers of symbiotic gene expression variation. our study is the first to partition genetic variation in a symbiotic transcriptome and illuminates potential molecular routes of coevolutionary change.",8,2012,21,"19","4735","4747",0,0,1,1
"Carboni, M; Santoro, R; Acosta, ATR","dealing with scarce data to understand how environmental gradients and propagule pressure shape fine-scale alien distribution patterns on coastal dunes","JOURNAL OF VEGETATION SCIENCE","Article","questions: on sandy coastal habitats, factors related to substrate and to wind action vary along the sea-inland ecotone, forming a marked directional disturbance and stress gradient. further, input of propagules of alien plant species associated to touristic exploitation and development is intense. this has contributed to establishment and spread of aliens in coastal systems. records of alien species in databases of such heterogeneous landscapes remain scarce, posing a challenge for statistical modelling. we address this issue and attempt to shed light on the role of environmental stress/disturbance gradients and propagule pressure on invasibility of plant communities in these typical model systems. location: sandy coasts of lazio (central italy). methods: we proposed an innovative methodology to deal with low prevalence of alien occurrence in a data set and high cost of field-based sampling by taking advantage, through predictive modelling, of the strong interrelation between vegetation and abiotic features in coastal dunes. we fitted generalized additive models to analyse (1) overall patterns of alien occurrence and spread and (2) specific patterns of the most common alien species recorded. conclusion: even in the presence of strong propagule pressure, variation in local abiotic conditions can explain differences in invasibility within a local environment, and intermediate levels of natural disturbance and stress offer the best conditions for spread of alien species. however, in our model system, propagule pressure is actually the main determinant of alien species occurrence and spread. we demonstrated that extending the information of environmental features measured in a subsample of vegetation plots through predictive modelling allows complex questions in invasion biology to be addressed without requiring disproportionate funding and sampling effort.",28,2011,22,"5","751","765",0,0,1,1
"Bubliy, OA; Loeschcke, V; Imasheva, AG","effect of stressful and nonstressful growth temperatures on variation of sternopleural bristle number in drosophila melanogaster","EVOLUTION","Article","the effect of stressful (31 degrees c) and nonstressful (25 degrees c) growth temperatures on quantitative variation and developmental stability (fluctuating asymmetry) of drosophila melanogaster was examined in a short-term selection experiment on sternopleural bristle number. realized heritabilities based on 10 generations of selection in an upward direction did nor differ between the two temperature regimes, which indicated that additive genetic variation was not affected by a high, stressful temperature. phenotypic variability and fluctuating asymmetry of sternopleural bristles were significantly higher under stressful conditions when averaged over generations, although most pairwise comparisons in separate generations showed nonsignificant differences between temperatures.",29,2000,54,"4","1444","1449",0,0,1,1
"Cobb, RC","species shift drives decomposition rates following invasion by hemlock woolly adelgid","OIKOS","Article","insect and disease outbreak is an important cause of selective species removal and accompanying functional change in north american forests. outbreak of hemlock woolly adelgid, adelgies tsugae - hwa, is causing selective removal of eastern hemlock tsuga canadensis at a regional scale. impacts of outbreak-caused canopy mortality and shifts in dominant species on litter decay were compared across sites that range in hwa-caused canopy damage and subsequent canopy dominance by black birch betula lenta. senescent litter from eastern hemlock, black birch, and equal litter mixes were decomposed in the field for 36 months within nine sites in connecticut and massachusetts usa. mass loss and % n accumulation of black birch was 65% and 52% greater compared to eastern hemlock. in contrast, outbreak related canopy damage increased litter mass loss by 11.5% in high mortality stands relative to uninfested stands but canopy damage had no impact on % n dynamics. non-additive effects of litter mixing influenced chemical dynamics of decaying litter; black birch accumulated less n and eastern hemlock accumulated more n compared to each species decaying alone. however, these changes offset and mixed litter bags overall showed no differences in n dynamics compared to values from each species decaying alone. in eastern hemlock stands invaded by hemlock woolly adelgid, canopy damage influences the rates and dynamics of decay but species differences between hemlock and black birch leaf litter are the dominant mechanisms of decomposition changes and a long-lasting driver of increased n cycling rates. species shifts may be the dominant driver of altered ecosystem processes for other insect outbreaks, particularly when replacement species have very different characteristics regulating decomposition and n cycling.",13,2010,119,"8","1291","1298",0,0,1,1
"Moore, TN; Fairweather, PG","decay of multiple species of seagrass detritus is dominated by species identity, with an important influence of mixing litters","OIKOS","Article","no studies of seagrass decay have examined effects of the number of species contained within the detrital pool. given the importance of decay for nutrient cycling and long-term productivity, we tested how three seagrass species affected decay in litterbags. experimental results clearly showed that species identity was the predominant driver of mass loss, with total loss not differing between bags containing one, two and three species. furthermore, we show there were also non-additive effects of mixing litter that were not predicted from single-species decay rates. the nature of the non-predictable mass loss varied both through time and with the number of species in the mixtures. this indicates that species richness indeed plays a role in this important ecosystem function but one that is of less importance than species identity. the concordance of these results with terrestrial studies suggests that mechanisms responsible for mixed-species decay rates may be broadly applicable across ecosystems.",30,2006,114,"2","329","337",0,0,1,1
"Talloen, W; Van Dongen, S; Van Dyck, H; Lens, L","environmental stress and quantitative genetic variation in butterfly wing characteristics","EVOLUTIONARY ECOLOGY","Article","butterfly wing characteristics are extensively used as model system in studies of development, quantitative genetics and phenotypic plasticity. in spite of its evolutionary relevance, however, the effect of stress on the expression of genetic variation itself has only rarely been studied. in this paper, we explore genetic variation of wing characteristics of the speckled wood pararge aegeria along a host plant drought stress gradient. forewing area, basal and distal degree of melanization and the area of five yellow wing spots were measured. we found an increase in (additive) genetic variation in degree of melanization at higher drought stress, and a similar, yet non-significant, relationship for forewing size. as a result, both the upper limits of the narrow-sense heritability and the coefficient of additive genetic variation of wing size and melanization increased with drought stress. patterns for the different yellow wing spots were less consistent, suggesting trait-specificity in the relationships between genetic variation and environmental stress.",8,2009,23,"3","473","485",0,0,1,1
"Goodson, JL; Kabelik, D; Schrock, SE","dynamic neuromodulation of aggression by vasotocin: influence of social context and social phenotype in territorial songbirds","BIOLOGY LETTERS","Article","the homologous neuropeptides vasotocin (vt) and vasopressin (vp) influence agonistic behaviours across many taxa, but peptide-behaviour relationships are complex and purportedly species- specific. putative species- specific effects in songbirds are confounded with context, however, such that territorial species have been tested only in resident-intruder paradigms and gregarious species have been tested only in a mate competition paradigm. using the territorial violet-eared waxbill (estrildidae: uraeginthus granatina), we now show that a v(1a) receptor antagonist reduces male aggression during mate competition (as in gregarious finches), but does not affect resident-intruder aggression in dominant males. however, the v(1a) antagonist disinhibits aggression in less aggressive (typically subordinate) males. these results are consistent with recent data on the activation of different vt cell groups during positive and negative social interactions. thus, vt influences aggression similarly across territorial and gregarious species, but in context- and phenotype-specific ways that probably reflect the differential activation of discrete vt cell groups.",31,2009,5,"4","554","556",0,1,0,1
"Lagator, M; Colegrave, N; Neve, P","selection history and epistatic interactions impact dynamics of adaptation to novel environmental stresses","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Article","in rapidly changing environments, selection history may impact the dynamics of adaptation. mutations selected in one environment may result in pleiotropic fitness trade-offs in subsequent novel environments, slowing the rates of adaptation. epistatic interactions between mutations selected in sequential stressful environments may slow or accelerate subsequent rates of adaptation, depending on the nature of that interaction. we explored the dynamics of adaptation during sequential exposure to herbicides with different modes of action in chlamydomonas reinhardtii. evolution of resistance to two of the herbicides was largely independent of selection history. for carbetamide, previous adaptation to other herbicide modes of action positively impacted the likelihood of adaptation to this herbicide. furthermore, while adaptation to all individual herbicides was associated with pleiotropic fitness costs in stress-free environments, we observed that accumulation of resistance mechanisms was accompanied by a reduction in overall fitness costs. we suggest that antagonistic epistasis may be a driving mechanism that enables populations to more readily adapt in novel environments. these findings highlight the potential for sequences of xenobiotics to facilitate the rapid evolution of multiple-drug and -pesticide resistance, as well as the potential for epistatic interactions between adaptive mutations to facilitate evolutionary rescue in rapidly changing environments.",0,2014,281,"1794","","",0,1,0,1
"Akay, G; Fleming, S","engineered ecosystem development for agro-process intensification","ECOSYSTEMS AND SUSTAINABLE DEVELOPMENT VIII","Proceedings Paper","the principles of process intensification and miniaturization technology, originally developed for chemicals processing, biotechnology and tissue engineering were applied to achieve plant growth and crop yield enhancement, which can be described as agroprocess intensification (a-pi). the basic principle of a-pi is the enhancement of multiple interactions between plant roots, water, nutrients, bacteria using micro-(bio)reactors as synthetic rhizosphere in soil (srs) which is a highly porous nano-structured hydrophilic ionic macro-porous polymer. if soil fertility is not limited by water, nutrients or bacteria then these soil additives do not have any function, although they can still be used as root delivery system for plant protection. in this study, we used nutrient and bacterium depleted soil with or without water stress to grow soybean in order to demonstrate the effect of the srs in enhancing biomass growth under stress. through an extensive scanning electron microscopy studies, it is shown that agroprocess intensification is achieved through the association of the plant roots with srs which retains both soil water and nutrients and transfer them to the plant while protecting the nitrogen fixing bacterium. implications of this method are discussed in terms of engineering of ecosystem to grow crops and biomass in substandard soil under water and fertilizer stress.",0,2011,NA,"","485","495",0,0,1,1
"Roelofs, D; Overhein, L; de Boer, ME; Janssens, TKS; van Straalen, NM","additive genetic variation of transcriptional regulation: metallothionein expression in the soil insect orchesella cincta","HEREDITY","Article","field-selected metal tolerance in orchesella cincta is correlated with overexpression of the single copy cadmium (cd) inducible metallothionein (mt). previously, we have demonstrated large phenotypic variation in mt gene expression, and a higher frequency of high-expression phenotypes in a tolerant population. here, we describe midparent offspring regression analysis of mt gene expression in a laboratory culture originating from a noncontaminated natural population. families were either not exposed (n = 47) or exposed to 0.5 mu mol cd per gram dry food (n = 46). mean mt gene expressions normalized to 28s rrna and beta-actin rna were generated using real-time rt-pcr applied to parents and offspring rna and subjected to regression analysis. a significant heritability (h(2)) for mt gene expression was estimated between 0.36 (beta-actin normalized) and 0.46 (28s normalized) in cd exposed families. nontreated families did not yield a significant h(2) value. restriction fragment length polymorphism analysis of the metallothionein promoter sequence revealed eight promoter alleles that show structural variation. three alleles show increased frequencies in families with high mt expression. another gene, croquemort (isolated from a differential screening for 1 mu mole cd treatment) showed no h(2) of gene expression in response to 0.5 mmol cd. this gene codes for a receptor-protein involved in recognition of apoptotic cells and may participate in the general stress response. the present data suggest that evolution of metal tolerance in o. cincta can occur in the field by selection for high mt expression due to structural changes in mt cis-regulation.",32,2006,96,"1","85","92",0,0,1,1
"Dugonik, M; Goricanec, D; Krope, J","pressure drop in aqueous surfactant solution flow through pipes in sis structure degradation zone","Proceedings of the 2nd IASME/WSEAS International Conference on Energy & Environment","Proceedings Paper","the paper describes chemical and rheologic properties of solutions of polymer additives and cationic surfactants while they flow though pipes in a laminar and turbulent zone and their influence on drag reduction. surface active additives or aqueous solutions of surfactants form rod-like micelles, associated into an intermolecular sis structure that absorbs the turbulence energy at the passage through a pipe, thus influencing the reduction in pressure drop or drag reduction. the influence of the velocity of aqueous solution of surface active additives is analysed in pipes in the re number range, where high shear stress leads to a degradation of the surfactant intermolecular sis structure and the drag reduction effect disappears. the pressure drop and drag reduction rate diagrams as functions of aqueous surfactant solution flow velocity and re number are based on computer calculations.",0,2007,NA,"","50","55",0,0,1,1
"Linke, S; Norris, RH; Pressey, RL","irreplaceability of river networks: towards catchment-based conservation planning","JOURNAL OF APPLIED ECOLOGY","Article","1. this study has adapted a complementarity-based area-selection method to estimate conservation value/irreplaceability for river systems. irreplaceability represents the likelihood that an area will be required as part of a conservation system that achieves all conservation targets. we adapt this measure - often used in marine or terrestrial planning - to consider whole-of-catchment protection in a riverine setting. 2. after dividing the australian state of victoria into 1854 subcatchments, we successfully modelled distributions of 400 benthic macroinvertebrate taxa using generalized additive models. we calculated the minimum area required to protect all taxa using three different heuristic selection algorithms. the algorithms were modified to consider the entire upstream catchment for any subcatchment. 3. a summed rarity algorithm, corrected for upstream area, proved to be the most efficient, requiring 100 000 hectares less total catchment area to represent all taxa than the second most efficient algorithm. we calculated irreplaceability by running the algorithm 1000 times and randomly removing 90% of the catchments in each run. from this analysis, we estimated two metrics: fs (the frequency of selection) and average c (average contribution to conservation targets). 4. four groups of catchments were identified: (i) catchments that have high contributions and are always or very frequently selected; (ii) catchments that have high contributions and are infrequently selected; (iii) catchments that are always or very frequently selected but contribute few taxa; and (iv) catchments that are infrequently selected and contribute few taxa. 5. synthesis and applications. for the first time, a complementarity-based algorithm has been adapted to a riverine setting. this algorithm acknowledges the connected nature of rivers by considering not only the local assemblages, but also upstream areas that need to be protected. we demonstrated that using standard algorithms in these connected systems would lead to two mistakes, namely: (i) not all taxa would be covered by reserves that were buffered from potential human disturbances upstream; and (ii) the standard algorithms would not lead to the most efficient solution, potentially costing additional millions of dollars to any conservation scheme. we therefore recommend the use of our algorithm or a similar riverine adaptation of reserve design algorithms to ensure adequate and efficient conservation planning.",30,2008,45,"5","1486","1495",0,0,1,1
"Uchida, K; Ushimaru, A","land abandonment and intensification diminish spatial and temporal -diversity of grassland plants and herbivorous insects within paddy terraces","JOURNAL OF APPLIED ECOLOGY","Article","although traditional land-use and management practices are known to enhance environmental heterogeneity in agricultural lands, loss of heterogeneity resulting from recent land-use changes can lead to spatiotemporal -diversity losses (biotic homogenization). however, patterns and causes of -diversity loss, especially at a within-field scale, have remained unexplored. we examined -diversity declines in plants, butterflies and orthopterans resulting from land abandonment and intensification in semi-natural grasslands on paddy margins at a within-field scale in relation to changes in disturbance frequency and surrounding landscapes by surveying eight abandoned, thirteen traditional and ten intensive paddy terraces. three indices, the additive partitioning of species richness ((add)) and the turnover ((tu)) and nestedness ((ne)) components of jaccard dissimilarity of plants and herbivores, were used to evaluate different aspects of -diversity. we hypothesized that biotic homogenization due to abandonment and intensification would be expressed as low spatiotemporal (add) and (tu), low spatial (ne) and high temporal (ne). the spatial and temporal (add) of plants and herbivores were higher in traditional terraces than in others. changes in mowing frequency caused direct declines in butterfly (add) and indirectly decreased herbivore (add) through diminished plant (add) in abandoned and intensified terraces. neighbouring forests increased plant spatial and butterfly temporal (add) and (tu). abandoned terraces had higher orthopteran spatial and plant temporal (tu) than traditional terraces. mowing frequency generally did not influence spatial and temporal (tu) of plants and herbivores. in intensive terraces, temporal (ne) of plants were higher than in traditional terraces, suggesting dominance by plant species sharing similar phenologies.synthesis and applications. these results suggest that traditional mowing practices are essential for maintaining plant and herbivore (add), and consequently, species pools within terraces. the higher spatial or temporal species turnover of plants and orthopterans in abandoned terraces and higher temporal plant nestedness in intensive than in traditional terraces were not due to increases in species pools within terraces. because within-terrace environmental heterogeneity is thought to remain in abandoned and intensive terraces, we recommend reduction in mowing frequency in intensive terraces and reintroduction of mowing in abandoned terraces for biodiversity restoration. these results suggest that traditional mowing practices are essential for maintaining plant and herbivore (add), and consequently, species pools within terraces. the higher spatial or temporal species turnover of plants and orthopterans in abandoned terraces and higher temporal plant nestedness in intensive than in traditional terraces were not due to increases in species pools within terraces. because within-terrace environmental heterogeneity is thought to remain in abandoned and intensive terraces, we recommend reduction in mowing frequency in intensive terraces and reintroduction of mowing in abandoned terraces for biodiversity restoration.",0,2015,52,"4","1033","1043",0,0,1,1
"Kleyer, M; Dray, S; de Bello, F; Leps, J; Pakeman, RJ; Strauss, B; Thuiller, W; Lavorel, S","assessing species and community functional responses to environmental gradients: which multivariate methods?","JOURNAL OF VEGETATION SCIENCE","Article","question how do multivariate methods perform in relating species- and community-level trait responses to the environment? location (1) field data from grazed semi-natural grasslands, ne germany; (2) artificial data. methods research questions associated with traitenvironment relationships were briefly reviewed and seven available methods evaluated. the main distinction between research questions is whether traitenvironment relationships should be addressed at community or species level. a redundancy analysis (rda) of mean trait values of species in a plot weighted by their abundances (cwm-rda) is exclusively suitable for the community level. the other six methods address the species level. a double inertia analysis of two arrays (rlq) and double canonical correspondence analysis (double cca) use combinations of ordinations to simultaneously analyse species and trait responses to the environment. a combination of the outlying mean index with generalized additive models (omi-gam) predicts the response of species to environmental variables on trait gradients. rda-regtree first analyses species responses to the environment with rda and then uses a regression tree to classify trait expressions according to scores of species responses on the ordination axes. cluster regression uses cluster analyses and logistic regression to search for trait combinations with the best response to the environmental variables. this method models the distribution of functional groups on environmental gradients. all methods and data are available as r scripts. results all methods consistently revealed the main trait responses to environment in the field data set, namely that life history was associated with available phosphorus while grazing intensity was related to leaf c:n ratio and canopy height. at community level, cwm-rda gave a good overview of traitenvironment relationships, as also provided by the species-based methods rlq and double cca. omi-gam revealed non-linear relationships in the field data set. field and artificial data gave that the number and stability of functional groups produced by cluster regression and rda-regtree varied more strongly than rlq, double cca and omi-gam. conclusions each method addresses particular ecological concepts and research questions. if a user asks for the response of average trait expressions of communities to environmental gradients, cwm-rda may be the first choice. however, species-based methods should be applied to address questions regarding co-existence of different life histories or to assess how groups of species respond to environmental changes. the artificial data set revealed that the methods differed in sensitivity to gradient lengths and random data.",32,2012,23,"5","805","821",0,0,1,1
"Buchheister, A; Bonzek, CF; Gartland, J; Latour, RJ","patterns and drivers of the demersal fish community of chesapeake bay","MARINE ECOLOGY PROGRESS SERIES","Article","large-scale research on the environmental, biological, and anthropogenic drivers of fish distributions, abundances, and community structure can identify patterns and trends within systems, provide mechanistic insight into ecosystem functioning, and contribute to ecosystem-based fisheries management. this study synthesized 10 yr of extensive fisheries-independent bottom trawl data (2002 to 2011) to evaluate drivers of demersal fish community structure in chesapeake bay, the largest estuary in the united states. changes in community composition were assessed using constrained correspondence analysis. also, aggregate community metrics (species richness, simpson diversity, and catch-per-unit-effort [cpue] of species groups) were modeled using generalized additive models. five species (atlantic croaker, white perch, spot, striped bass, and summer flounder) accounted for >75% of the total trawled biomass. the demersal fish community was primarily structured by the latitudinal salinity gradient that largely differentiated anadromous fishes from coastal shelf spawning species and elasmobranchs, with low overall cpue and richness in mesohaline waters. low dissolved oxygen concentrations (below similar to 4 mg l(-1)) greatly suppressed cpue and diversity metrics and appeared to displace fish biomass toward the northern and southern edges of the bay's mainstem channel. water temperature and month strongly influenced the seasonal dynamics of community composition and metrics. community composition and biomass shifted after 2007, with a substantial decline in annual cpue of some species groups. recruitment and fishing indices for the dominant species were the best predictors of the interannual patterns in community metrics, outperforming various other climatic and biological annual-scale covariates.",5,2013,481,"","161","180",0,0,1,1
"Rose, AB; Basher, LR; Wiser, SK; Platt, KH; Lynn, IH","factors predisposing short-tussock grasslands to hieracium invasion in marlborough, new zealand","NEW ZEALAND JOURNAL OF ECOLOGY","Article","the effects of environment and management on the composition of short-tussock grasslands and the abundance of the invasive weed hieracium pilosella were investigated in two small catchments. species composition and site factors were recorded on a total of 182 plots and the management history of each catchment was reviewed. h. pilosella was present on >80% of all plots, but was at an early stage of invasion in one catchment (<5% cover) and dominant in the other (25% cover). classification and ordination revealed strong between-catchment differences in community composition that reflected differences in environment (soil fertility and rainfall), disturbance history (animal populations and burning), and the stage of invasion by h. pilosella. in both catchments h. pilosella tended to be least abundant on the wettest, driest, and most fertile soils. however, such relationships were weak. generalised additive models and regression showed that in the earlier stage of invasion individual site factors explained less than 20% of the variation in h. pilosella cover. topographic position and slope (both indicative of soil moisture) were the most significant combined predictors, but together explained only 32% of the variation. in the later stage of invasion individual factors explained up to 33% of the variation. topsoil sulphur, slope, and topsoil calcium were the most significant combined predictors, but together explained only 53% of the variation. between-catchment comparisons highlighted the inter-related roles of environment, disturbance history, geographic location, availability of h. pilosella propagules, and stage of invasion in more fully explaining the abundance of h. pilosella. of five models that have been proposed for hieracium invasion, the: ""grassland decline"" model best incorporated the inter-related factors that influence spatial and temporal variation in h. pilosella abundance in the study area. this model concentrates on identifying predisposing and trigger factors that increase the likelihood of invasion and accounts for multiple causes and interactions by specifying five key factors that influence the ability of a plant species to invade existing vegetation: environment, disturbance, vegetation structure and composition, life history attributes of the invader, and the availability of invading propagules. the model potentially provides a comprehensive framework for evaluating the causes of hieracium invasion, targeting research effort, and developing sustainable management strategies.",33,1998,22,"2","121","140",0,0,1,1
"Forde, SE; Thompson, JN; Holt, RD; Bohannan, BJM","coevolution drives temporal changes in fitness and diversity across environments in a bacteria-bacteriophage interaction","EVOLUTION","Article","coevolutionary interactions are thought to play a crucial role in diversification of hosts and parasitoids. furthermore, resource availability has been shown to be a fundamental driver of species diversity. yet, we still do not have a clear understanding of how resource availability mediates the diversity generated by coevolution between hosts and parasitoids over time. we used experiments with bacteria and bacteriophage to test how resources affect variation in the competitive ability of resistant hosts and temporal patterns of diversity in the host and parasitoid as a result of antagonistic coevolution. bacteria and bacteriophage coevolved for over 150 bacterial generations under high and low-resource conditions. we measured relative competitive ability of the resistant hosts and phenotypic diversity of hosts and parasitoids after the initial invasion of resistant mutants and again at the end of the experiment. variation in relative competitive ability of the hosts was both time- and environment-dependent. the diversity of resistant hosts, and the abundance of host-range mutants attacking these phenotypes, differed among environments and changed over time, but the direction of these changes differed between the host and parasitoid. our results demonstrate that patterns of fitness and diversity resulting from coevolutionary interactions can be highly dynamic.",33,2008,62,"8","1830","1839",0,1,0,1
"Clark, ES; Pompini, M; da Cunha, LM; Wedekind, C","maternal and paternal contributions to pathogen resistance dependent on development stage in a whitefish (salmonidae)","FUNCTIONAL ECOLOGY","Article","it is often assumed that maternal and paternal contributions to offspring phenotype change over the lifetime of an individual. however, studies on parental effects typically suffer from the problems that heritabilities and maternal environmental effects are difficult to separate, and that both may depend on environmental factors and developmental stage. in order to experimentally disentangle maternal from paternal contributions and the likely effects of developmental stage from ecological effects, we sampled a natural population of the whitefish coregonus palaea, used gametes for full-factorial in vitro fertilizations, raised over 10000 of the resulting offspring singly at controlled conditions, and exposed them at different points during embryonic development to one of two strains of pseudomonas fluorescens that differed in their virulence characteristics (only one caused mortality, while both delayed hatching and reduced growth). vulnerability to infection increased markedly over embryo development. this change coincided with a distinct shift in the importance of maternal to additive genetic effects on survival. timing of exposure also affected the variance components for hatching time and larval length, but in a less consistent direction than the variance components for mortality. no significant genetic variation was found for any reaction norms across time points of exposure, indicating a uniformity among genotypes in how susceptibility changed over development. phenotypes were also typically correlated across time points, which could constrain the evolution of the reaction norms. our experiment demonstrates that the relative maternal and paternal contributions to susceptibility to an infection, and hence the evolutionary potential to respond to pathogen-induced selection, depends not only on the kind of pathogenic stress but also on the timing of the challenge.",3,2014,28,"3","714","723",0,0,1,1
"Rodrigo, MA; Rojo, C; Alonso-Guillen, JL; Vera, P","restoration of two small mediterranean lagoons: the dynamics of submerged macrophytes and factors that affect the success of revegetation","ECOLOGICAL ENGINEERING","Article","two small, shallow lagoons newly created from former rice fields in the mediterranean coast (albufera de valencia natural park, spain) were restored by planting several species of submerged macrophytes (myriophyllum spicatum, ceratophyllum demersum, potamogeton spp., zannichellia peltata and ranunculus peltatus) in 2008. charophytes also appeared spontaneously. m. spicatum was the species that dominated both lagoons and almost completely covered their surface. m. spicatum reached a high biomass and displayed a seasonal pattern, declining during the cold season and reappearing in the spring. no submerged vegetation was observed in the lagoons from 2011 onward. the major purpose of the present study was to elucidate the factors that caused the total disappearance and prevented the regeneration of submerged vegetation cover in both lagoons. such factors may include negative biotic relationships such as those related to the presence of fish and crayfish, waterfowl grazing, phytoplankton and epiphytic development that causes shading and abiotic factors such as water nutrient concentration. three different types (treatments) of 1-m(2). exclosures were set up and planted with macrophyte cultures that formed 3 different assemblages: chara hispida alone, a mixture of c vulgaris, c baltica and nitella hyalina and a mixture of higher plants (m. spicatum, c demersum and potamogeton pectinatus). the ""open"" type of exclosure permitted the entrance of fish, crayfish, and birds. the ""lateral"" exclosure prevented the entry of fish. the ""closed"" exclosure also prevented bird grazing. to determine the potential of the seed sediment bank to regenerate submerged vegetation, we investigated lagoon sediments (i) to quantify seeds and (ii) to examine seed germination. the results indicate that there is not a sufficiently large reservoir of phanerogam seeds in the lagoon sediments to recover vegetation by germination. the ""closed"" exclosures allowed the growth of all species in spite of the intense development of periphyton on macrophyte tissues and filamentous algae, which reduced light availability by up to 45%. the ""lateral"" exclosures had a lower development of macrophytes. in the ""open"" exclosures, almost no macrophytes were detected 3 weeks after planting. water chemistry (p and n content) did not limit the development of the tested macrophyte species but did appear to negatively affect charophytes in one of the lagoons. the deleterious effect of exotic fauna (particularly carps and crayfish) in combination with the high herbivory pressure by waterfowl, primarily during the periods when the rice fields surrounding the lagoons were dry, were the major factors that acted in a negative synergistic manner to prevent the recolonisation of the vegetation currently in the lagoons. a procedure to eradicate exotic fish and crayfish is required prior to any type of restoration effort involving the plantation of submerged macrophytes. more areas with permanent submerged vegetation in the natural park are required to decrease herbivory pressure. (c) 2013 elsevier b.v. all rights reserved.",11,2013,54,"","1","15",1,0,0,1
"Norry, FM; Gomez, FH; Loeschcke, V","knockdown resistance to heat stress and slow recovery from chill coma are genetically associated in a quantitative trait locus region of chromosome 2 in drosophila melanogaster","MOLECULAR ECOLOGY","Article","in insects, two ecologically relevant traits of thermal adaptation are knockdown resistance to high temperature (krht) and chill-coma recovery (ccr). chromosome 2 of drosophila melanogaster was tested for quantitative trait loci (qtl) affecting both ccr and krht in backcrosses between homosequential lines that are fixed for the standard (noninverted) sequence of this autosome. these lines were obtained by artificial selection on krht and subsequent inbreeding from a stock that was derived from a single wild population. heat-induced expression of the 70kd heat-shock protein (hsp70) was also examined for variation between the lines. composite interval mapping was performed for each trait on each reciprocal backcross, identifying one qtl region in the middle of chromosome 2 for both krht and ccr. the largest estimates of additive effects were found in pericentromeric regions of chromosome 2, accounting for 10-14% (ccr) and 10-17% (krht) of the phenotypic variance in bc populations. no qtl was found in the region of the heat-shock factor (hsf) gene. however, the two parental lines have diverged in the heat-induced hsp70 expression. distribution of krht qtl on chromosome 2 was similar between this study based on crosses between lines selected from a single wild population and previous work based on crosses between selection lines from different continents. colocalized qtl showed a trade-off association between ccr and krht, which should be the result of either multiple, tightly linked trait-specific genes or a single gene with pleiotropic effects on the traits. we discuss candidate loci contained within the qtl regions.",34,2007,16,"15","3274","3284",0,0,1,1
"Wen, L; Yang, XH; Saintilan, N","local climate determines the ndvi-based primary productivity and flooding creates heterogeneity in semi-arid floodplain ecosystem","ECOLOGICAL MODELLING","Article","water is clearly the key driver of ecosystem functioning in arid and semi-arid floodplain environment. both local rainfall and overbank flow contribute to water accessible by a plant. variability in rainfall and hydrological regimes at seasonal and longer time scales exerts strong influences shaping ecosystem structure and function in arid and semi-arid floodplains. yet there are few studies exploring how the interplay of climatic and hydrologic factors affects the integrity of floodplain ecosystems, especially the intermittently flooded vegetated wetlands. in fact, the importance of hydrological regimes prevailingly dominates the literature on floodplain ecology. consequently, re-establishing and maintaining hydrological regimes has become the cornerstone underpinning most large scale floodplain conservation and restoration programs. in this study, we quantified the relative contribution of climatic and hydrologic variables to ecosystem functioning in the generalized additive modelling (gam) framework using indicators derived from time series of modis 250 m ndvi (normalized difference vegetation index). results from the ""best fitted"" gam models reveal that local rainfall has a closer and more important relationship with wetland mean ndvi (a surrogate of system primary productivity) although the co-variability between primary productivity and inflow is significantly positive. on the other hand, inflows play a dominant role in creating and maintaining the spatial heterogeneity represented by standard deviation of wetland ndvi while local rainfall has an opposite effect. further, different vegetation community types exhibit distinct seasonality patterns in the ndvi-based primary productivity. these results illustrate the complexity of interactions between vegetation type, climate variations, and hydrology in floodplain wetlands. these results also demonstrate the sensitivity of floodplain wetlands to the perturbations in rainfall and temperature regimes, which would be more intense under the projected climate change. (c) 2012 elsevier b.v. all rights reserved.",7,2012,242,"","116","126",0,0,1,1
