authors,title,source,type,keywords,abstract,times_cited,PY,VL,IS,BP,EP,DI,synergy,antag,additive
"Pauli, JN; Buskirk, SW","Risk-disturbance overrides density dependence in a hunted colonial rodent, the black-tailed prairie dog Cynomys ludovicianus",JOURNAL OF APPLIED ECOLOGY,Article,Allee effect; coloniality; density dependence; hunting; prairie dog; risk-disturbance; Wyoming,"Traditional understanding of how hunting affects vertebrate populations emphasizes competitive release and density dependence of vital rates, but more recent thinking has proposed complex non-lethal responses to hunting disturbance and predation risk. Colonial species have been proposed to be more vulnerable than dispersed, solitary species to disturbance and perceived risk from hunting. However, empirical comparisons of density dependence vs. risk disturbance in hunted species are few. To compare density dependence with risk-disturbance effects of hunting on individuals and populations of a colonial species, we tested the response of black-tailed prairie dogs Cynomys ludovicianus to shooting in a before-after, treatment-control experiment. We subjected five colonies to a pulse of shooting, and compared individual and colony attributes to those of five control colonies, protected from shooting. Surviving prairie dogs increased alert behaviours eightfold and reduced both above-ground activity and time spent foraging by 66%. Changes in behaviour lowered the body condition of surviving adults by 35%. Survivors of shooting, especially juveniles, exhibited elevated stress levels; faecal corticosterone concentrations increased by 80% among juveniles. Unexpectedly, overwinter survival rates did not increase in response to reduced prairie dog density. Colonies subjected to shooting experienced reproductive near-collapse the summer after shooting; pregnancy rates declined by 50% and reproductive output fell by 82%. Risk-disturbance overwhelmed any possible density-dependent effects of shooting in prairie dogs, which exhibited additive mortality in response to hunting, and reproductive failure 1 year after shooting. Risk-disturbance was the predominant mechanism whereby individuals and colonies were affected by hunting. Synthesis and applications. Because of their coloniality, prairie dogs possess certain life-history traits that predisposed them to be particularly susceptible to hunting-associated disturbances, which had cascading effects on population-level processes. Our findings contradict the general belief that small-bodied mammals quickly rebound from hunting exploitation via compensatory mortality and reproduction. Managers should consider measures to reduce recreational shooting intensity and duration in regions where black-tailed prairie dog colony growth and persistence is desired, yet allow shooting in areas where colonies conflict with landowner interests.",18,2007,44,6,1219,1230,10.1111/j.1365-2664.2007.01337.x,,,
"Morritt, D; Leung, KMY; De Pirro, M; Yau, C; Wai, TC; William, GA","Responses of the limpet, Cellana grata (Gould 1859), to hypo-osmotic stress during simulated tropical, monsoon rains",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Article,freshwater; limpet; monsoon; physiology; rain; tropical shores,"Although heat stress is often cited as the dominant physical stress on tropical shores, intertidal organisms in regions with monsoonal climates are also regularly exposed to prolonged periods of heavy rainfall. Such events are predicted to have adverse physiological effects on individuals and may result in mortality. In a series of laboratory experiments, the impact of simulated monsoonal rains was investigated on the patellid limpet, Cellana grata. Sub-lethal responses in terms of body water content, body fluid osmolality and heart rate were measured in two different size cohorts maintained on horizontal and vertical substrata. Limpets were unable to achieve any effective behavioural isolation, and exposure to either simulated rainfall or diluted seawater resulted in both large and small C grata gaining water with subsequent dilution of mantle water and haemolymph osmolalities. With increased duration of rainfall, dilution of body fluids increased with little difference between individuals on horizontal and vertical surfaces. Body fluids generally showed proportional dilution during prolonged rain, but in some individuals there was evidence for regulation of the haemolymph relative to the mantle fluid. Overall, smaller limpets were more susceptible to prolonged rainfall than large animals in terms of swelling of soft tissues and detachment and also had higher heart rates than large limpets. Both cohorts reduced heart rates with prolonged rainfall, suggesting a degree of metabolic depression, especially on horizontal surfaces. In small limpets, no difference in heart rate was found with substratum orientation, whereas large limpets had elevated heart rates on vertical as compared to horizontal substrata, when exposed to either simulated rainfall or washed with dilute seawater. This may reflect the increased energetic costs required to maintain a relatively larger body on a vertical surface under stressful conditions. Monsoonal rainfall during emersion, and subsequent dilution of seawater, therefore, have sub-lethal physiological and possible lethal effects on intertidal limpets. This influence has been largely overlooked, but coupled with the possible synergistic effects of thermal stress, monsoon rains are likely to play an important role in community dynamics on tropical shores. (c) 2007 Elsevier B.V. All rights reserved.",8,2007,352,1,78,88,10.1016/j.jembe.2007.07.002,,,
"Hayashi, TI; Marshall, JL; Gavrilets, S",The dynamics of sexual conflict over mating rate with endosymbiont infection that affects reproductive phenotypes,JOURNAL OF EVOLUTIONARY BIOLOGY,Article,coevolution; maternal inheritance; mathematical models; reproductive traits; sexual selection; Wolbachia,"Maternally inherited endosymbionts have been implicated as significant drivers of sexual conflict within their hosts, typically through sex-ratio manipulation. Empirical studies show that some of these endosymbionts have the potential to influence sexual conflict not by sex-ratio distortion, but by altering reproductive traits within their hosts. Research has already shown that reproductive traits involved in mating/fertilization process are integral 'players' in sexual conflict, thus suggesting the novel hypothesis that endosymbiont-induced changes in reproductive phenotypes can impact the dynamics of sexual conflict. Here, we use a standard quantitative genetic approach to model the effects of endosymbiont-induced changes in a female reproductive trait on the dynamics of sexual conflict over mating/fertilization rate. Our model shows that an endosymbiont-induced alteration of a host female reproductive trait that affects mating rate can maintain the endosymbiont infection within the host population, and does so in the absence of sex-ratio distortion and cytoplasmic incompatibility.",6,2007,20,6,2154,2164,10.1111/j.1420-9101.2007.01429.x,,,
"Li, J; Duggin, JA; Loneragan, WA; Grant, CD","Grassland responses to multiple disturbances on the New England Tablelands in NSW, Australia",PLANT ECOLOGY,Article,fire; grazing; plant community; resilience; soil cultivation; soil amendment,"Disturbances have played a significant role in shaping vegetation patterns following European settlement and agricultural development in Australia, particularly over the last 100 years. However, little is known about the temporal dynamics of plant communities in relation to disturbances and their interactions. In this study we examined the response and recovery of temperate grassland communities to disturbance, using a multi-factorial experiment involving grazing exclusion (absent and present), fire (absent and present), soil cultivation (none, 5 and 20 cm) and soil amendment (none, fertiliser and fertiliser plus clover seeds) on the New England Tablelands in NSW, Australia. Temporal patterns of plant communities were analysed using detrended correspondence analysis for eight surveys over 24 months. Vegetation patterns at each survey were analysed using principal components analysis. The effects of treatments on malleability (Bray-Curtis dissimilarity) of plant communities were analysed using a linear mixed model, and the relationships between malleability and plant species groups were depicted using a generalised additive model and further analysed using a linear model. Perennial native grasses and a non-native forb (Hypochaeris radicata) initially dominated the vegetation, but after the disturbances H. radicata and other non-native species dominated. Compositional changes from the initial states were greatest in the first spring (7 months after treatment application), and then the vegetation tended to recover towards its original state. Soil cultivation resulted in the greatest deviation in community composition, followed by soil amendment, fire, with grazing exclusion the least. The recovery process and rate of recovery varied with treatment reflecting the dominance of soil cultivation and its interactions with other forms of disturbances. Soil amendment and grazing exclusion tended to reduce the effects of soil cultivation. Malleability was negatively related to perennial native grasses; positively to other non-native species, annual native grasses and perennial native sedges/rushes; and negatively to H. radicata when its cover was below 18%, but positively when above 18%. The degree of malleability reflected the high resilience of the vegetation to disturbance, and was mainly due to the recovery of perennial native grasses and H. radicata. This resilience demonstrated that the small-scale disturbances did not cause vegetation to cross an ecological threshold and that the present vegetation is resilient to common disturbances occurring at small scales. The results also suggest (1) that the present vegetation has developed mechanisms to adapt to these disturbances, (2) the importance of disturbance scale or (3) that the ecological threshold had already been crossed and the present vegetation is in a degraded state compared with its original state before the end of the 19th century.",5,2007,193,1,39,57,10.1007/s11258-006-9247-8,,,
"Ricklefs, RE; Cadena, CD",Lifespan is unrelated to investment in reproduction in populations of mammals and birds in captivity,ECOLOGY LETTERS,Article,aging; antagonistic pleiotropy; disposable soma; senescence; survival; trade-off; zoo populations,"We examined the relationship between number of offspring produced to a certain age and subsequent longevity in captive zoo populations of 18 species of mammal and 12 species of bird. The age cut-offs in each analysis were set to include 50%, 75% and 90% of the offspring produced in each of the population samples. Only one of 68 regressions was significant, and its slope was positive. In addition, we examined the relationship between age at first reproduction up to a certain age and longevity after that age, generally 5 years (3-8), among 17 species of mammal and 12 species of bird. Only one of these regressions had a significantly positive slope, indicating that early reproduction rarely reduces lifespan. Overall, we found no evidence that producing offspring in a zoo environment influences the age at death. Thus, although trade-offs might apply in natural populations under resource limitation, neither pregnancy, growth of the foetus and lactation in mammals, nor egg production in birds, reduces lifespan in the absence of such stress. If genetically based or other intrinsic antagonistic pleiotropy underlies the evolution of senescence, it was not evident in our analyses.",36,2007,10,10,867,872,10.1111/j.1461-0248.2007.01085.x,,,
"Smith, CA; Wilson, WG",Evolutionarily stable dispersal with pattern formation in a mutualist-antagonist system,EVOLUTIONARY ECOLOGY RESEARCH,Article,disperse; evolutionarily stable state; heterogeneity; host-parasitoid; individual-based simulation; mathematical model; metapopulation dynamics; obligate mutualism; patches,"Question: How does the evolution of dispersal distance affect the persistence, distribution, and population dynamics of a mutualist-antagonist system capable of endogenous pattern formation? Modelling approach: We let dispersal distance evolve within an individual-based model involving an obligate plant-pollinating seed parasite pair and a parasitoid that preys upon pollinator larvae. The model incorporates demographic parameters for ovule production, pollinator oviposition, pollinator and parasitoid visitation rates, in addition to background mortality probabilities for each of the three species. A corresponding non-spatial mathematical model verifies our representation of the interspecific dynamics. Key assumptions: Individuals move over a homogeneous underlying environment with dispersal distances drawn from probability distribution kernels. Each species is subject to density-dependent reproduction. Pollinators and parasitoids make multiple visits per time step that are Poisson distributed. Conclusions: Dependent on demographic parameter values, there is a spectrum of outcomes, including: (1) runaway selection for increased dispersal distance resulting in homogeneous distributions of all three species; (2) an evolutionarily stable state with pattern formation and metapopulation-like dynamics; and (3) rapid extinction of one or more species. Interestingly, a weak relaxation of the obligacy between the plants and the pollinators erodes the evolutionarily stable state with pattern formation. We argue that this dependence upon and sensitivity to obligacy may explain the lack of empirical observations of endogenous pattern formation in nature.",0,2007,9,6,987,1004,,,,
"Reusch, TBH; Wood, TE",Molecular ecology of global change,MOLECULAR ECOLOGY,Review,ecogenomics; genetic architecture; genome scan; global change; photoperiod; range shift; selection experiment; stress tolerance; transcription profiling,"Global environmental change is altering the selection regime for all biota. The key selective factors are altered mean, variance and seasonality of climatic variables and increase in CO2 concentration itself. We review recent studies that document rapid evolution to global climate change at the phenotypic and genetic level, as a response to shifts in these factors. Among the traits that have changed are photoperiod responses, stress tolerance and traits associated with enhanced dispersal. The genetic basis of two traits with a critical role under climate change, stress tolerance and photoperiod behaviour, is beginning to be understood for model organisms, providing a starting point for candidate gene approaches in targeted nonmodel species. Most studies that have documented evolutionary change are correlative, while selection experiments that manipulate relevant variables are rare. The latter are particularly valuable for prediction because they provide insight into heritable change to simulated future conditions. An important gap is that experimental selection regimes have mostly been testing one variable at a time, while synergistic interactions are likely under global change. The expanding toolbox available to molecular ecologists holds great promise for identifying the genetic basis of many more traits relevant to fitness under global change. Such knowledge, in turn, will significantly advance predictions on global change effects because presence and polymorphism of critical genes can be directly assessed. Moreover, knowledge of the genetic architecture of trait correlations will provide the necessary framework for understanding limits to phenotypic evolution; in particular as lack of critical gene polymorphism or entire pathways, metabolic costs of tolerance and linkage or pleiotropy causing negative trait correlations. Synergism among stressor impacts on organismal function may be causally related to conflict among transcriptomic syndromes specific to stressor types. Because adaptation to changing environment is always contingent upon the spatial distribution of genetic variation, high-resolution estimates of gene flow and hybridization should be used to inform predictions of evolutionary rates.",138,2007,16,19,3973,3992,10.1111/j.1365-294X.2007.03454.x,,,
"Lewison, R",Population responses to natural and human-mediated disturbances: assessing the vulnerability of the common hippopotamus (Hippopotamus amphibius),AFRICAN JOURNAL OF ECOLOGY,Article,catastrophe; environmental stochasticity; habitat loss; hippopotamus; multi-matrix population model; population persistence; sensitivity to disturbance,"Vulnerable wildlife populations can face a suite of anthropogenic activities that may threaten their persistence. However, human-mediated disturbances are likely to be coincident with natural disturbances that also influence a population. This synergism is often neglected in population projection models. Here I evaluate the effects of natural (rainfall fluctuation) and human disturbances (habitat loss and unregulated hunting) using a multi-matrix environmental state population model for the common hippopotamus (Hippopotamus amphibius). By evaluating each disturbance type (natural and human) alone and then together, I explicitly consider the importance of incorporating realistic environmental variability into population projection models. The model population was most strongly affected by moderate habitat loss, which yielded the highest probability of crossing the risk thresholds over the 60 year time period, although these probabilities were relatively low (<= 0.31). However, the likelihood of crossing the risk thresholds were two to five times as high when human-mediated and natural disturbances were considered together. When these probabilities were calculated per year of the simulation, the results suggested that even relatively mild human disturbances, when considered in conjunction with realistic natural disturbance, resulted in a high probability (> 0.50) of substantial declines within decades. The model highlights the importance of integrating realistic natural disturbances into population models, and suggests that, despite locally abundant populations, protected hippopotamus populations may decline over the next 60 years in response to a combination of environmental fluctuations and human-mediated threats.",6,2007,45,3,407,415,10.1111/j.1365-2028.2006.00747.x,,,
"Butler, LG; Kielland, K; Rupp, TS; Hanley, TA","Interactive controls of herbivory and fluvial dynamics on landscape vegetation patterns on the Tanana River floodplain, interior Alaska",JOURNAL OF BIOGEOGRAPHY,Article,Alaska; boreal forest; fluvial dynamics; herbivory; landscape dynamics; spatially explicit models; succession,"Aim We examined the interactive effects of mammalian herbivory and fluvial dynamics on vegetation dynamics and composition along the Tanana River in interior Alaska. Location Model parameters were obtained from field studies along the Tanana River, Alaska between Fairbanks (64 degrees 50.50' N, 147 degrees 43.30' W) and Manley Hot Springs (65 degrees 0.0' N, 150 degrees 36.0' W). Methods We used a spatially explicit model of landscape dynamics (ALFRESCO) to simulate vegetation changes on a 1-year time-step. The model was run for 250 years and was replicated 100 times. Results Increases in herbivory decreased the proportion of early successional vegetation and increased the proportion of late successional vegetation on the simulated landscape. Erosion and accretion worked as antagonists to herbivory, increasing the amount of early successional vegetation and decreasing the amount of late successional vegetation. However, the interactive effects of herbivory and erosion/accretion were especially important in determining system response, particularly in early seral vegetation types. High erosion rates, when coupled with low herbivory, greatly increased the proportion of willow on the landscape. When coupled with high herbivory, however, they greatly increased the proportion of alder on the landscape. At low levels of herbivory, alder abundance peaked at intermediate levels of erosion/accretion. Main conclusions Neither erosion/accretion nor herbivory produced consistent landscape patterns that could be predicted independently of the other. These findings underscore the importance of the interactive effects of biotic and abiotic disturbances in shaping large-scale landscape vegetation patterns in boreal floodplain ecosystems - systems traditionally thought to be driven primarily by abiotic disturbance alone.",10,2007,34,9,1622,1631,10.1111/j.1365-2699.2007.01713.x,,,
"Didham, RK; Tylianakis, JM; Gemmell, NJ; Rand, TA; Ewers, RM",Interactive effects of habitat modification and species invasion on native species decline,TRENDS IN ECOLOGY & EVOLUTION,Review,,"Different components of global environmental change are often studied and managed independently, but mounting evidence points towards complex non-additive interaction effects between drivers of native species decline. Using the example of interactions between land-use change and biotic exchange, we develop an interpretive framework that will enable global change researchers to identify and discriminate between major interaction pathways. We formalise a distinction between numerically mediated versus functionally moderated causal pathways. Despite superficial similarity of their effects, numerical and functional pathways stem from fundamentally different mechanisms of action and have fundamentally different consequences for conservation management. Our framework is a first step toward building a better quantitative understanding of how interactions between drivers might mitigate or exacerbate the net effects of global environmental change on biotic communities in the future.",243,2007,22,9,489,496,10.1016/j.tree.2007.07.001,,,
"Liu, W; Au, DWT; Anderson, DM; Lam, PKS; Wu, RSS","Effects of nutrients, salinity, pH and light : dark cycle on the production of reactive oxygen species in the alga Chattonella marina",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Article,Chattonella marina; iron; nutrient; PH; physical parameters; plasma membrane; reactive oxygen species; redox,"Experiments were carried out to investigate the effects of nutrients, salinity, pH and light:dark cycle on growth rate and production of reactive oxygen species (ROS) by Chattonella marina, a harmful algal bloom (HAB) species that often causes fish kills. Different nitrogen forms (organic-N and inorganic-N), N:P ratios, light:dark cycles and salinity significantly influenced algal growth, but not ROS production. However, iron concentration and pH significantly affected both growth and ROS production in C marina. KCN (an inhibitor of mitochondrial respiration) and 3-(3,4-dichlorophenyt)-1,1-dimethylurea (an inhibitor of photosynthesis) had no significant effects on ROS production. Vitamin K-3 (a plasma membrane electron shuttle) enhanced ROS production while its antagonist, dicumarol, decreased ROS production. Taken together, our results suggest that ROS production by C marina is related to a plasma membrane enzyme system regulated by iron availability but is independent of growth, photosynthesis, availability of macronutrients, salinity and irradiance. (c) 2007 Elsevier B.V. All rights reserved.",32,2007,346,02-Jan,76,86,10.1016/j.jembe.2007.03.007,,,
"Riley, SPD; Bromley, C; Poppenga, RH; Uzal, FA; Whited, L; Sauvajot, RM",Anticoagulant exposure and notoedric mange in bobcats and mountain lions in urban southern California,JOURNAL OF WILDLIFE MANAGEMENT,Article,anticoagulant rodenticides; bobcat; fragmentation; mountain lion; multiple stressors; notoedric mange; southern California; synergistic effects; toxicology; urbanization,"Human, introduce many toxicants into the environment, the long-term and indirect effects of which are generally unknown. We investigated exposure to anticoagulant rodenticides and evaluated the association between notoedric mange, an ectoparasitic disease, and anticoagulant exposure in bobcats (Lynx rufus) and mountain lions (Puma concolor) in a fragmented urban landscape in southern California, USA. Beginning in 2002, an epizootic of notoedric mange, a disease previously reported only as isolated cases in wild felids, in 2 years reduced the annual survival rate of bobcats from 0.77 (5-yr average) to 0.28. Anticoagulants were present in 35 of 39 (90%) bobcats we tested, multiple compounds were present in 27 of these 35 (77%), and total toxicant load was positively associated with the use of developed areas by rachocollared animals. Mange- associated mortality in bobcats showed a strong association with anticoagulant exposure, as 19 of 19 (100%) bobcats that died with severe mange were also exposed to the toxicants, and for bobcats with anticoagulant residues >0.05 ppm, the association with mange was highly significant (chi(2) = 10.36, P = 0.001). We speculate that concomitant elevated levels of rodenticide exposure may have increased the susceptibility of bobcats to advanced mange disease. Bobcats were locally extirpated from some isolated habitat patches and have been slow to recover. In 2004, 2 adult mountain lions died directly from anticoagulant toxicity, and both animals also had infestations of notoedric mange, although not as advanced as in the emaciated bobcats that died with severe disease. Two other mountain lions that died in intraspecific fights also exhibited exposure to 2-4 different anticoagulants. These results show that the effects of secondary poisoning on predators can be widespread, reach even the highest-level carnivores, and have both direct and possibly indirect effects on mortality. Further research is needed to investigate the lethal and sub-lethal effects of anticoagulants and other toxicants on wildlife in terrestrial environments.",33,2007,71,6,1874,1884,10.2193/2005-615,,,
"Norry, FM; Gomez, FH; Loeschcke, V",Knockdown resistance to heat stress and slow recovery from chill coma are genetically associated in a quantitative trait locus region of chromosome 2 in Drosophila melanogaster,MOLECULAR ECOLOGY,Article,cold-stress resistance; Drosophila; heat-stress resistance; Hsp70 expression; QTL; thermal adaptation,"In insects, two ecologically relevant traits of thermal adaptation are knockdown resistance to high temperature (KRHT) and chill-coma recovery (CCR). Chromosome 2 of Drosophila melanogaster was tested for quantitative trait loci (QTL) affecting both CCR and KRHT in backcrosses between homosequential lines that are fixed for the standard (noninverted) sequence of this autosome. These lines were obtained by artificial selection on KRHT and subsequent inbreeding from a stock that was derived from a single wild population. Heat-induced expression of the 70KD heat-shock protein (Hsp70) was also examined for variation between the lines. Composite interval mapping was performed for each trait on each reciprocal backcross, identifying one QTL region in the middle of chromosome 2 for both KRHT and CCR. The largest estimates of additive effects were found in pericentromeric regions of chromosome 2, accounting for 10-14% (CCR) and 10-17% (KRHT) of the phenotypic variance in BC populations. No QTL was found in the region of the heat-shock factor (hsf) gene. However, the two parental lines have diverged in the heat-induced Hsp70 expression. Distribution of KRHT QTL on chromosome 2 was similar between this study based on crosses between lines selected from a single wild population and previous work based on crosses between selection lines from different continents. Colocalized QTL showed a trade-off association between CCR and KRHT, which should be the result of either multiple, tightly linked trait-specific genes or a single gene with pleiotropic effects on the traits. We discuss candidate loci contained within the QTL regions.",34,2007,16,15,3274,3284,10.1111/j.1365-294X.2007.03335.x,,,
"Dormann, CF","Competition hierarchy, transitivity and additivity: investigating the effect of fertilisation on plant-plant interactions using three common bryophytes",PLANT ECOLOGY,Article,bryophytes; community matrix; competition; facilitation; Lotka-Volterra; stability; transitivity,"The way competition structures plant communities has been investigated intensely over many decades. Dominance structures due to competitive hierarchies, with consequences for species richness, have not received as much experimental attention, since their manipulation is a large logistic undertaking. Here the data from a model system based on bryophytes are presented to investigate competition structure in a three-species system. Grown in monocultures, pairwise and three-species mixtures under no and high nitrogen supply, the three moss species responded strongly to treatment conditions. One of them suffered from nitrogen fertilisation and hence performed better in mixtures, where the dominant species provided physical shelter from apparently toxic nitrogen spray. Accordingly, no linear competitive hierarchy emerged and qualitative transitivity remains restricted to the unfertilised treatments. Faciliation also affected other properties of the competition structure. The reciprocity of competition effects could not be observed. Moreover, the performances in three-species mixtures were not well predictable from the knowledge of monocultures and pairwise mixtures because competitive effects were not additive. This had implications for community stability at equilibrium: all two-species systems were stable, both fertilised and unfertilised, while the three-species system was only stable when fertilised. This stability under fertilisation has probably to do with the facilitative effect of the two dominant species on the third. In this experiment, little support for commonly held ideas was found about the way competition in plant communities is structured. On the other hand, this study shows that moss communities are ideal model systems to test predictions of theoretical models concerning properties and consequences of competition in plant communities.",4,2007,191,2,171,184,10.1007/s11258-006-9235-z,,,
"Deegan, LA; Bowen, JL; Drake, D; Fleeger, JW; Friedrichs, CT; Galvan, KA; Hobble, JE; Hopkinson, C; Johnson, DS; Johnson, JM; Lemay, LE; Miller, E; Peterson, BJ; Picard, C; Sheldon, S; Sutherland, M; Vallino, J; Warren, RS",Susceptibility of salt marshes to nutrient enrichment and predator removal,ECOLOGICAL APPLICATIONS,Article; Proceedings Paper,bottom-up; eutrophication; Fundulus heteroclitus; multiple stressors; nutrient loading; salt marsh; Spartina alterniflora; Spartina patens; species change; top-down,"Salt marsh ecosystems have been considered not susceptible to nitrogen overloading because early studies suggested that salt marshes adsorbed excess nutrients in plant growth. However, the possible effect of nutrient loading on species composition, and the combined effects of nutrients and altered species composition on structure and function, was largely ignored. Failure to understand interactions between nutrient loading and species composition may lead to severe underestimates of the impacts of stresses. We altered whole salt marsh ecosystems (similar to 60 000 m(2)/treatment) by addition of nutrients in flooding waters and by reduction of a key predatory fish, the mummichog. We added nutrients (N and P; 15-fold increase over ambient conditions) directly to the flooding tide to mimic the way anthropogenic nutrients are delivered to marsh ecosystems. Despite the high concentrations (70 mmol N/L) achieved in the water column, our annual N loadings (15-60 g N.m(-2).yr(-1)) were an order of magnitude less than most plot-level fertilization experiments, yet we detected responses at several trophic levels. Preliminary calculations suggest that 30-40% of the added N was removed by the marsh during each tidal cycle. Creek bank Spartina alterniflora and high marsh S. patens production increased, but not stunted high marsh S. alterniflora. Microbial production increased in the fertilized creek bank S. alterniflora habitat where benthic microalgae also increased. We found top-down control of benthic microalgae by killifish, but only under nutrient addition and in the opposite direction (increase) than that predicted by a fish-invertebrate-microalgae trophic cascade. Surprisingly, infauna declined in abundance during the first season of fertilization and with fish removal. Our results demonstrate ecological effects of both nutrient addition and mummichog reduction at the whole-system level, including evidence for synergistic interactions.",40,2007,17,5,S42,S63,10.1890/06-0452.1,,,
"Fridley, JD; Vandermast, DB; Kuppinger, DM; Manthey, M; Peet, RK",Co-occurrence based assessment of habitat generalists and specialists: a new approach for the measurement of niche width,JOURNAL OF ECOLOGY,Article,niche breadth; habitat selection; habitat diversity; south-east USA; woody flora; southern Appalachians; Joyce Kilmer-Slickrock Wilderness; beta diversity; additive partitioning; ecoinformatics,"1. Much ecological theory is based on the characterization of ecological habits of species as 'generalist' or 'specialist', but standard measures for placing species along a generalist-specialist gradient do not exist. 2. We introduce a method for quantifying habitat specialization (i.e. relative niche widths) using species co-occurrence data. Generalists should co-occur with many species, whereas specialists should co-occur with relatively few species, given equal plot occurrences. We quantify this concept using a generalist-specialist metric (theta) derived from a beta diversity statistic. 3. We evaluate the ability of our generalist-specialist metric to correctly rank species according to simulated (known) niche widths. Our technique is generally robust to a wide variety of niche distribution structures and sampling designs, but surveys strongly biased toward certain habitats can undermine the ability of theta to accurately describe niche widths for underrepresented species. 4. We apply our technique to three spatially nested surveys of the large woody flora (> 1 cm d.b.h.) of the south-eastern USA. For each dataset we rank the generalist-specialist tendencies of all species of non-trivial occurrences, including 113 species across the Southeast, 71 species of southern Appalachian forests, and 44 species of the 6800-ha Joyce Kilmer-Slickrock Wilderness Area (NC and TN, USA). 5. Rankings of species' theta-values were generally consistent among datasets of different spatial extent. Generalist species (e.g. Ilex opaca, Ulmus rubra, Morus rubra, Prunus serotina, Acer rubrum) were often those with large geographical ranges, particularly for theta-values from the largest dataset, and overall were more likely to be bird-dispersed, deciduous, and shade tolerant. South-eastern specialist species (e.g. Taxodium spp., Abies fraseri, Quercus laevis, Pinus pungens, Pinus palustris) were those associated with stressful or unusual conditions, such as a long duration of flooding, high fire frequency, or extreme cold or dry climates. 6. Our study demonstrates that increasingly available, large-survey datasets can contribute niche-related species information in the absence of detailed environmental or habitat measurements. Applications include new assessments of relationships between species traits, ecological and environmental tolerances, and species packing in different assemblages.",47,2007,95,4,707,722,10.1111/j.1365-2745.2007.01236.x,,,
"Tercero-Bucardo, N; Kitzberger, T; Veblen, TT; Raffaele, E",A field experiment on climatic and herbivore impacts on post-fire tree regeneration in north-western Patagonia,JOURNAL OF ECOLOGY,Article,Austrocedrus; climate change; disturbances; fire; livestock; Nothofagus; Patagonia; seedling survival; tree regeneration,"1. Wildfires are predicted to increase in many ecosystems in relation to globally increasing temperatures but future patterns of post-fire vegetation change are largely unknown, particularly when there are synergistic effects from introduced biota. In the late 1990s northern Patagonia, Argentina, experienced extreme droughts which led to severe wildfires affecting a range of Andean ecosystems. 2. We experimentally examined how variations in moisture, temperature and herbivory by livestock affect post-1999 fire patterns of the three main tree species. Over two years we monitored, in three forest types, the survival and growth of tree seedlings in a factorial warming (+2 degrees C)/livestock exclosure/watering experiment. 3. Seedling survival in the warmed treatments and in the controls was nil for the evergreen Nothofagus dombeyi and the conifer Austrocedrus chilensis at the two low-elevation experimental sites. Survival of the subalpine Nothofagus pumilio in the warmed treatments at high elevation tended to be lower than in the control; for all treatments of warming alone there were no significant differences compared with the controls. 4. In all three forest types, increased water availability was essential for higher rates of tree seedling survival. Doubling water availability during the growing season resulted in up to fourfold increases in seedling survival and up to threefold increases in seedling biomass. 5. In the subalpine forest, livestock reduced seedling survival by c. 30% in non-watered treatments compared with watered treatments, probably due mainly to soil desiccation and to consumption of or damage to facilitating plants. In contrast, at lower elevation, where livestock pressure was lower, seedling survival of N. dombeyi and A. chilensis tended to be higher in unfenced sites, possibly due to reduced competition from highly palatable shrub species. 6. General circulation models predict a warming-drying trend in northern Patagonia during the twenty-first century. The resulting increase in wildfire is likely to be followed by inadequate tree regeneration and conversion from forest to shrubland cover types. This and similar studies suggest that under relatively slight changes in regional climate, increased fire occurrence interacting synergistically with moisture limitations will result in long-lasting displacements of forest by more xeric vegetation shrublands.",17,2007,95,4,771,779,10.1111/j.1365-2745.2007.01249.x,,,
"Eriksson, BK; Rubach, A; Hillebrand, H",Dominance by a canopy forming seaweed modifies resource and consumer control of bloom-forming macroalgae,OIKOS,Article,,"Degradation of ecological resources by large-scale disturbances highlights the need to demonstrate biological properties that increase resistance to change and promote the resilience of ecosystem regimes. Coastal eutrophication is a global-scale disturbance that drives ecosystem change by increasing primary production and favouring ephemeral and bloom-forming life-forms. Recent synthesis indicates that consumption processes increase the resistance of coastal communities to nutrient loading by controlling the responses of ephemeral macroalgae. Here we suggest a similar ecological function for canopy cover by demonstrating that the presence of a canopy species modifies both resource and consumer control of bloom-forming algae associated with nutrient enrichment. We tested effects of canopy presence on the interaction between consumer and resource control, by field-manipulations of a dominant canopy forming seaweed (Fucus vesiculosus), grazer presence (dominated by the gastropod Littorina littorea) and nutrient enrichment (common agricultural NPK fertilizer). Canopy cover and grazers jointly controlled strong increases of ephemeral bloom-forming algae (dominated by Ulva spp) from nutrient enrichment; nutrients increased ephemeral recruitment almost 10-fold, but only in the absence of both grazers and canopy cover. Recruitment success of the canopy-forming seaweed itself decreased additively with 56.1, 71.3 and 50.5% from independent effects of canopy cover, grazers and nutrient enrichment, respectively. A meta-analysis of nine nutrient enrichment experiments including seaweed, seagrass and stream communities, showed that in the presence of canopies average nutrient effects were reduced by more than 90% compared to without canopies. This corroborates the generality of our finding that dominating canopy species are important for aquatic ecosystems by increasing community resistance to the propagation of nutrient effects.",19,2007,116,7,1211,1219,10.1111/j.2007.0030-1299.15666.x,,,
